experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	NC_sharp.wav	"[""I mprehtë"", ""duke duartrokitur""]"	I mprehtë	3	00:00:46.407	2018-12-04 10:02:17.29	10	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	KR_rock.wav	"[""shkëmb"", ""duke duartrokitur""]"	ujë	3	00:00:09.474	2018-12-04 10:02:26.819	189	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	BW_that.wav	"[""ai/ajo"", ""duke duartrokitur""]"	ha	3	00:00:08.958	2018-12-04 10:02:35.804	64	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	SU_water.wav	"[""ujë"", ""duke duartrokitur""]"	ujë	3	00:00:14.693	2018-12-04 10:02:50.523	184	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	GB_big.wav	"[""e madhe"", ""duke duartrokitur""]"	e keqe	2	00:00:07.884	2018-12-04 10:02:58.435	77	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	clapping.wav	"[""duke duartrokitur""]"	duke duartrokitur	1	00:00:03.43	2018-12-04 10:03:01.899	74	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	clapping.wav	"[""duke duartrokitur""]"	duke duartrokitur	1	00:00:03.561	2018-12-04 10:03:05.491	3	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	BW_woman.wav	"[""grua"", ""duke duartrokitur""]"	e keqe	1	00:00:04.321	2018-12-04 10:03:09.843	44	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	IL_child.wav	"[""fëmijë"", ""duke duartrokitur""]"	fëmijë	1	00:00:03.855	2018-12-04 10:03:13.724	144	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	IL_hunt.wav	"[""shkoj për gjueti"", ""duke duartrokitur""]"	shkoj për gjueti	1	00:00:03.071	2018-12-04 10:03:16.82	173	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	NC_snake.wav	"[""gjarpër"", ""duke duartrokitur""]"	gjarpër	1	00:00:02.838	2018-12-04 10:03:19.682	74	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	IL_hide.wav	"[""fsheh"", ""duke duartrokitur""]"	pres	2	00:00:09.492	2018-12-04 10:03:29.202	139	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	IL_sharp.wav	"[""I mprehtë"", ""duke duartrokitur""]"	e keqe	3	00:00:08.208	2018-12-04 10:03:37.435	52	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	NC_pound.wav	"[""godas"", ""duke duartrokitur""]"	godas	1	00:00:03.956	2018-12-04 10:03:41.426	98	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	clapping.wav	"[""duke duartrokitur""]"	duke duartrokitur	1	00:00:03.253	2018-12-04 10:03:44.707	66	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	BW_man.wav	"[""burrë"", ""duke duartrokitur""]"	burrë	2	00:00:05.053	2018-12-04 10:03:49.786	57	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	KR_sleep.wav	"[""fle"", ""duke duartrokitur""]"	fle	1	00:00:02.997	2018-12-04 10:03:52.811	166	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	clapping.wav	"[""duke duartrokitur""]"	duke duartrokitur	1	00:00:02.48	2018-12-04 10:03:55.315	96	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	KD_sleep.wav	"[""fle"", ""duke duartrokitur""]"	fle	1	00:00:03.253	2018-12-04 10:03:58.595	128	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	BW_tiger.wav	"[""tigër"", ""duke duartrokitur""]"	tigër	1	00:00:04.299	2018-12-04 10:04:02.931	173	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	IL_eat.wav	"[""ha"", ""duke duartrokitur""]"	ha	1	00:00:03.534	2018-12-04 10:04:06.491	186	albanian	english, french	tosk, standard
Iconicity (AL)	ICAL_0	ICAL_0_0	2110262	2018-12-04	F	41	Krujë	Tiranë	albanian	english, french	toskërisht, standard	weak_hearing	KR_tiger.wav	"[""tigër"", ""duke duartrokitur""]"	tigër	2	00:00:05.889	2018-12-04 10:04:12.403	68	albanian	english, french	tosk, standard
