experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	IL_pound.wav	"[""զարկել"", ""ծափահարություն""]"	զարկել	3	00:54:24.098	2018-10-18 23:40:01.869	7	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	BW_tiger.wav	"[""վագր"", ""ծափահարություն""]"	վագր	1	00:00:10.428	2018-10-18 23:40:12.645	116	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	NC_that.wav	"[""այդ"", ""ծափահարություն""]"	երեխա	3	00:00:18.528	2018-10-18 23:40:31.257	34	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	GB_cook.wav	"[""եփել"", ""ծափահարություն""]"	եփել	2	00:00:12.551	2018-10-18 23:40:43.889	92	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	KR_eat.wav	"[""ուտել"", ""ծափահարություն""]"	ուտել	1	00:00:03.394	2018-10-18 23:40:47.372	70	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	NC_hide.wav	"[""թաքնվել"", ""ծափահարություն""]"	թաքնվել	2	00:00:09.443	2018-10-18 23:40:56.892	192	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	KR_meat.wav	"[""միս"", ""ծափահարություն""]"	միս	4	00:00:15.901	2018-10-18 23:41:12.872	193	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	IL_good.wav	"[""լավ"", ""ծափահարություն""]"	լավ	2	00:00:18.887	2018-10-18 23:41:31.838	55	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	clapping.wav	"[""ծափահարություն""]"	ծափահարություն	1	00:00:03.619	2018-10-18 23:41:35.549	87	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	KR_sleep.wav	"[""քնել"", ""ծափահարություն""]"	քնել	1	00:00:05.207	2018-10-18 23:41:40.837	182	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	IL_deer.wav	"[""եղնիկ"", ""ծափահարություն""]"	եղնիկ	1	00:00:05.096	2018-10-18 23:41:46.047	138	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	IL_bad.wav	"[""վատ"", ""ծափահարություն""]"	վատ	2	00:00:05.808	2018-10-18 23:41:51.935	147	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	clapping.wav	"[""ծափահարություն""]"	ծափահարություն	1	00:00:03.056	2018-10-18 23:41:55.068	3	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	IL_this.wav	"[""այս"", ""ծափահարություն""]"	այս	2	00:00:06.672	2018-10-18 23:42:01.822	167	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	clapping.wav	"[""ծափահարություն""]"	ծափահարություն	1	00:00:02.799	2018-10-18 23:42:04.71	59	armenian	russian, english, german	
Iconicity (AM)	ICAM_0	ICAM_0_0	2079041	2018-10-18	F	30	Վանաձոր, Հայաստան	Գերմանիա	հայերեն	ռուսերեն, անգլերեն, գերմաներեն		undefined	NC_good.wav	"[""լավ"", ""ծափահարություն""]"	այս	3	00:00:21.79	2018-10-18 23:42:26.578	157	armenian	russian, english, german	
