experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (CN)	ICCN_0	ICCN_0_0	2049558	2018-09-24	F	2	q	q	q	q		undefined	clapping.wav	"[""击掌""]"	火	1	00:00:05.515	2018-09-24 14:19:25.601	23	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2049558	2018-09-24	F	2	q	q	q	q		undefined	NC_tiger.wav	"[""老虎"", ""击掌""]"	重重地击打	2	00:00:35.286	2018-09-24 14:20:00.938	4	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2049558	2018-09-24	F	2	q	q	q	q		undefined	LJ_many.wav	"[""很多"", ""击掌""]"	重重地击打	1	00:00:01.607	2018-09-24 14:20:02.601	39	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2049558	2018-09-24	F	2	q	q	q	q		undefined	KD_that.wav	"[""那"", ""击掌""]"	鹿	1	00:00:01.073	2018-09-24 14:20:03.721	51	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2049558	2018-09-24	F	2	q	q	q	q		undefined	NC_sharp.wav	"[""锋利"", ""击掌""]"	好	1	00:00:00.74	2018-09-24 14:20:04.505	61	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2049558	2018-09-24	F	2	q	q	q	q		undefined	IL_child.wav	"[""孩子"", ""击掌""]"	那	1	00:00:00.598	2018-09-24 14:20:05.153	47	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2049558	2018-09-24	F	2	q	q	q	q		undefined	GB_many.wav	"[""很多"", ""击掌""]"	肉	1	00:00:00.817	2018-09-24 14:20:06.017	47	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2051256	2018-09-25	F	2	q	q	q	q		undefined	IL_eat.wav	"[""吃"", ""击掌""]"	好	1	00:00:02.796	2018-09-25 16:55:28.286	25	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2051259	2018-09-25	F	2	q	q	q	q		undefined	IL_hunt.wav	"[""打猎"", ""击掌""]"	搜集	1	00:00:02.963	2018-09-25 18:13:15.193	25	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2051259	2018-09-25	F	2	q	q	q	q		undefined	BW_man.wav	"[""男人"", ""击掌""]"	水	1	00:00:00.842	2018-09-25 18:13:16.096	64	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2051259	2018-09-25	F	2	q	q	q	q		undefined	KR_one.wav	"[""一"", ""击掌""]"	钝	1	00:00:00.766	2018-09-25 18:13:16.912	25	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2051259	2018-09-25	F	2	q	q	q	q		undefined	GB_gather.wav	"[""搜集"", ""击掌""]"	那	1	00:00:00.498	2018-09-25 18:13:17.537	65	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2051259	2018-09-25	F	2	q	q	q	q		undefined	GB_child.wav	"[""孩子"", ""击掌""]"	吃	1	00:00:00.551	2018-09-25 18:13:18.152	50	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2051259	2018-09-25	F	2	q	q	q	q		undefined	IL_fire.wav	"[""火"", ""击掌""]"	切割	1	00:00:00.957	2018-09-25 18:13:19.176	37	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2051259	2018-09-25	F	2	q	q	q	q		undefined	clapping.wav	"[""击掌""]"	躲藏	1	00:00:00.592	2018-09-25 18:13:19.833	68	q	q	
Iconicity (CN)	ICCN_0	ICCN_0_0	2068092	2018-10-09	F	10	你好	中国	你好	你好		undefined	KR_cut.wav	"[""切割"", ""击掌""]"	吃	1	00:00:22.739	2018-10-09 05:33:40.418	56	hi	hi	
Iconicity (CN)	ICCN_0	ICCN_0_0	2068092	2018-10-09	F	10	你好	中国	你好	你好		undefined	KR_sleep.wav	"[""睡觉"", ""击掌""]"	睡觉	2	00:00:12.527	2018-10-09 05:33:53.355	73	hi	hi	
Iconicity (CN)	ICCN_0	ICCN_0_0	2068092	2018-10-09	F	10	你好	中国	你好	你好		undefined	SU_rock.wav	"[""石块"", ""击掌""]"	大	3	00:00:14.224	2018-10-09 05:34:08.81	54	hi	hi	
Iconicity (CN)	ICCN_0	ICCN_0_0	2068092	2018-10-09	F	10	你好	中国	你好	你好		undefined	clapping.wav	"[""击掌""]"	鼓掌	6	00:00:16.054	2018-10-09 05:34:25.273	68	hi	hi	
Iconicity (CN)	ICCN_0	ICCN_0_0	2068092	2018-10-09	F	10	你好	中国	你好	你好		undefined	BW_hunt.wav	"[""打猎"", ""击掌""]"	打猎	1	00:00:20.985	2018-10-09 05:34:47.327	27	hi	hi	
Iconicity (CN)	ICCN_0	ICCN_0_0	2068099	2018-10-09	F	10	你好	你好	你好	你好		undefined	BW_woman.wav	"[""女人"", ""击掌""]"	女人	1	00:00:11.781	2018-10-09 05:37:03.043	94	hi	hi	
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	IL_water.wav	"[""水"", ""击掌""]"	男人	2	00:00:25.395	2018-10-09 12:27:24.254	89	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	KR_rock.wav	"[""石块"", ""击掌""]"	石块	4	00:00:25.323	2018-10-09 12:27:50.244	98	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	SU_snake.wav	"[""蛇"", ""击掌""]"	蛇	2	00:00:08.947	2018-10-09 12:27:59.877	89	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	IL_rock.wav	"[""石块"", ""击掌""]"	男人	1	00:00:05.664	2018-10-09 12:28:06.224	23	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	IL_hunt.wav	"[""打猎"", ""击掌""]"	打猎	1	00:00:08.926	2018-10-09 12:28:15.828	25	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	KD_cook.wav	"[""做饭"", ""击掌""]"	做饭	1	00:00:12.721	2018-10-09 12:28:29.205	35	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	BW_that.wav	"[""那"", ""击掌""]"	好	2	00:00:07.516	2018-10-09 12:29:08.79	15	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	KD_sleep.wav	"[""睡觉"", ""击掌""]"	睡觉	1	00:00:04.37	2018-10-09 12:29:13.734	19	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	clapping.wav	"[""击掌""]"	鼓掌	1	00:00:04.219	2018-10-09 12:29:18.518	62	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	GB_cut.wav	"[""切割"", ""击掌""]"	切割	1	00:00:05.466	2018-10-09 12:29:24.589	33	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2068557	2018-10-09	M	40	中国荆州	中国	中文	无	荆州区八岭山	undefined	clapping.wav	"[""击掌""]"	鼓掌	1	00:00:05.65	2018-10-09 12:29:30.849	68	chinese		jingzhou
Iconicity (CN)	ICCN_0	ICCN_0_0	2085682	2018-10-24	F	20	你好	你好	你好	你好	你好	undefined	GB_cook.wav	"[""做饭"", ""击掌""]"	打猎	1	00:00:24.094	2018-10-24 05:48:07.315	45	hi	hi	hi
Iconicity (CN)	ICCN_0	ICCN_0_0	2085682	2018-10-24	F	20	你好	你好	你好	你好	你好	undefined	KD_knife.wav	"[""刀"", ""击掌""]"	好	1	00:00:30.995	2018-10-24 05:48:38.689	81	hi	hi	hi
Iconicity (CN)	ICCN_0	ICCN_0_0	2085682	2018-10-24	F	20	你好	你好	你好	你好	你好	undefined	KD_that.wav	"[""那"", ""击掌""]"	躲藏	1	00:00:14.062	2018-10-24 05:48:53.091	51	hi	hi	hi
Iconicity (CN)	ICCN_0	ICCN_0_0	2085682	2018-10-24	F	20	你好	你好	你好	你好	你好	undefined	NC_sleep.wav	"[""睡觉"", ""击掌""]"	蛇	1	00:00:06.232	2018-10-24 05:48:59.699	96	hi	hi	hi
