experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	SU_cut.wav	"[""schneiden"", ""Klatschen""]"	schneiden	1	00:00:12.007	2018-07-19 15:52:12.203	183	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	KR_cut.wav	"[""schneiden"", ""Klatschen""]"	schneiden	1	00:00:04.308	2018-07-19 15:52:16.627	152	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	IL_woman.wav	"[""Frau"", ""Klatschen""]"	Frau	1	00:00:03.28	2018-07-19 15:52:19.952	61	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	KD_cook.wav	"[""kochen"", ""Klatschen""]"	kochen	1	00:00:04.58	2018-07-19 15:52:24.575	159	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	MS_big.wav	"[""groß"", ""Klatschen""]"	groß	2	00:01:30.388	2018-07-19 15:53:55.007	24	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	GB_good.wav	"[""gut"", ""Klatschen""]"	gut	2	00:01:00.607	2018-07-19 15:54:55.655	7	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	NC_deer.wav	"[""Hirsch"", ""Klatschen""]"	Hirsch	1	00:00:03.517	2018-07-19 15:54:59.267	8	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	KR_pound.wav	"[""hämmern"", ""Klatschen""]"	hämmern	3	00:00:40.233	2018-07-19 15:55:39.543	100	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	IL_dull.wav	"[""stumpf"", ""Klatschen""]"	stumpf	1	00:00:32.156	2018-07-19 15:56:11.767	61	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	BW_knife.wav	"[""Messer"", ""Klatschen""]"	schneiden	1	00:00:05.061	2018-07-19 15:56:16.867	175	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	KR_sleep.wav	"[""schlafen"", ""Klatschen""]"	schlafen	1	00:00:03.869	2018-07-19 15:56:20.779	47	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001940	2018-07-19	F	2	x	x	x	x		undefined	GB_gather.wav	"[""(ver)sammeln"", ""Klatschen""]"	(ver)sammeln	1	00:00:03.234	2018-07-19 15:56:24.055	25	x	x	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	BW_one.wav	"[""eins"", ""Klatschen""]"	eins	2	00:00:56.689	2018-07-19 16:49:08.188	193	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	clapping.wav	"[""Klatschen""]"	Klatschen	1	00:00:22.517	2018-07-19 16:49:30.761	65	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	IL_fire.wav	"[""Feuer"", ""Klatschen""]"	Feuer	1	00:00:13.555	2018-07-19 16:49:44.37	185	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	NC_good.wav	"[""gut"", ""Klatschen""]"	gut	1	00:00:22.335	2018-07-19 16:50:06.757	197	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	KR_eat.wav	"[""essen"", ""Klatschen""]"	essen	2	00:00:24.191	2018-07-19 16:50:31.002	121	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	KD_water.wav	"[""Wasser"", ""Klatschen""]"	Wasser	1	00:00:12.9	2018-07-19 16:50:43.956	133	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	KR_many.wav	"[""viele"", ""Klatschen""]"	Stein	1	00:00:37.541	2018-07-19 16:51:21.547	79	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	NC_snake.wav	"[""Schlange"", ""Klatschen""]"	Schlange	1	00:00:06.779	2018-07-19 16:51:28.379	165	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	TM_small.wav	"[""klein"", ""Klatschen""]"	Frucht	2	00:00:33.118	2018-07-19 16:52:01.549	50	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	IL_dull.wav	"[""stumpf"", ""Klatschen""]"	stumpf	1	00:00:15.922	2018-07-19 16:52:17.533	61	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	IL_meat.wav	"[""Fleisch"", ""Klatschen""]"	Fleisch	1	00:00:10.323	2018-07-19 16:52:27.909	148	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	clapping.wav	"[""Klatschen""]"	Stein	1	00:00:14.975	2018-07-19 16:52:42.935	43	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	clapping.wav	"[""Klatschen""]"	Stein	1	00:00:13.676	2018-07-19 16:52:56.666	150	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	GB_cut.wav	"[""schneiden"", ""Klatschen""]"	schneiden	2	00:00:22.359	2018-07-19 16:53:19.078	85	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	KD_hide.wav	"[""verstecken"", ""Klatschen""]"	Frau	1	00:00:31.79	2018-07-19 16:53:50.917	49	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	NC_that.wav	"[""das"", ""Klatschen""]"	das	1	00:00:18.036	2018-07-19 16:54:09.003	198	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	KD_eat.wav	"[""essen"", ""Klatschen""]"	Messer	1	00:00:17.905	2018-07-19 16:54:26.961	91	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	IL_fruit.wav	"[""Frucht"", ""Klatschen""]"	Frucht	1	00:00:15.562	2018-07-19 16:54:42.575	135	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	SU_rock.wav	"[""Stein"", ""Klatschen""]"	schneiden	1	00:00:17.447	2018-07-19 16:55:00.075	157	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	BW_knife.wav	"[""Messer"", ""Klatschen""]"	scharf	1	00:00:11.944	2018-07-19 16:55:12.071	175	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	KD_fire.wav	"[""Feuer"", ""Klatschen""]"	viele	1	00:00:22.118	2018-07-19 16:55:34.243	50	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	BW_man.wav	"[""Mann"", ""Klatschen""]"	Tiger	1	00:00:28.04	2018-07-19 16:56:02.335	21	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	clapping.wav	"[""Klatschen""]"	hämmern	1	00:00:06.87	2018-07-19 16:56:09.255	30	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	KR_cook.wav	"[""kochen"", ""Klatschen""]"	scharf	1	00:00:06.787	2018-07-19 16:56:16.095	189	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	GB_good.wav	"[""gut"", ""Klatschen""]"	Frau	1	00:00:09.982	2018-07-19 16:56:26.135	7	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	GB_child.wav	"[""Kind"", ""Klatschen""]"	Kind	1	00:00:06.03	2018-07-19 16:56:32.218	100	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	KD_cook.wav	"[""kochen"", ""Klatschen""]"	essen	2	00:00:21.971	2018-07-19 16:56:54.243	159	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	IL_this.wav	"[""dies"", ""Klatschen""]"	dies	1	00:00:07.681	2018-07-19 16:57:01.977	103	english	german, french	
Iconicity (DE)	ICDE_0	ICDE_0_0	2001960	2018-07-19	M	78	Plymouth, England	NRW, Deutschland	englisch	deutsch, französisch	nein	undefined	clapping.wav	"[""Klatschen""]"	hämmern	1	00:00:08.215	2018-07-19 16:57:10.245	17	english	german, french	
