experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (DK)	ICDK_0	ICDK_0_0	2073829	2018-10-15	F	2	q	q	q	q		undefined	BW_one.wav	"[""et"", ""klappe""]"	et	1	00:00:03.797	2018-10-15 19:10:36.363	112	q	q	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	NC_one.wav	"[""et"", ""klappe""]"	schlecht	2	00:00:23.412	2018-10-16 17:36:10.489	180	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	IL_fire.wav	"[""ild"", ""klappe""]"	feuer	1	00:00:13.418	2018-10-16 17:36:23.975	14	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	BW_tiger.wav	"[""tiger"", ""klappe""]"	Tiger	1	00:00:04.628	2018-10-16 17:36:28.676	152	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	BW_big.wav	"[""stor"", ""klappe""]"	großes	1	00:00:09.674	2018-10-16 17:36:38.411	10	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	NC_good.wav	"[""god"", ""klappe""]"	gut	1	00:00:07.432	2018-10-16 17:36:45.903	5	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	clapping.wav	"[""klappe""]"	hammer	1	00:00:05.737	2018-10-16 17:36:51.7	155	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	NC_sharp.wav	"[""skarp"", ""klappe""]"	Stein	1	00:00:08.343	2018-10-16 17:37:00.105	40	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	IL_deer.wav	"[""rådyr"", ""klappe""]"	Hirsch	1	00:00:07.168	2018-10-16 17:37:07.333	54	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	IL_hunt.wav	"[""jagte"", ""klappe""]"	Jagd	1	00:00:03.682	2018-10-16 17:37:11.079	184	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	clapping.wav	"[""klappe""]"	Hammer	1	00:00:06.337	2018-10-16 17:37:17.485	68	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	BW_meat.wav	"[""kød"", ""klappe""]"	Fleisch	1	00:00:07.057	2018-10-16 17:37:24.601	26	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	KD_knife.wav	"[""kniv"", ""klappe""]"	Messer	1	00:00:06.809	2018-10-16 17:37:31.473	193	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	IL_dull.wav	"[""stump"", ""klappe""]"	Kind	1	00:00:08.079	2018-10-16 17:37:39.615	21	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	BW_bad.wav	"[""dårlig"", ""klappe""]"	schlecht	1	00:00:06.586	2018-10-16 17:37:46.263	65	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	TM_small.wav	"[""lille"", ""klappe""]"	wenig	1	00:00:07.511	2018-10-16 17:37:53.836	26	german	danish, english, french	
Iconicity (DK)	ICDK_0	ICDK_0_0	2075218	2018-10-16	M	40	DE	DE	de	dk, en, fr	---	undefined	NC_sleep.wav	"[""sove"", ""klappe""]"	Schlaf	1	00:00:04.905	2018-10-16 17:37:58.8	24	german	danish, english, french	
