experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	IL_knife.wav	"[""nuga"", ""plaksutamine""]"	plaksutamine	1	00:00:03.446	2018-09-25 18:16:53.625	28	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	BW_hunt.wav	"[""jahtima"", ""plaksutamine""]"	plaksutamine	1	00:00:00.785	2018-09-25 18:16:54.465	74	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	BW_big.wav	"[""suur"", ""plaksutamine""]"	plaksutamine	1	00:00:00.758	2018-09-25 18:16:55.272	46	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	IL_rock.wav	"[""kivi"", ""plaksutamine""]"	plaksutamine	1	00:00:00.633	2018-09-25 18:16:55.952	33	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	IL_child.wav	"[""laps"", ""plaksutamine""]"	plaksutamine	1	00:00:32.235	2018-09-25 18:17:28.233	0	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	KR_woman.wav	"[""naine"", ""plaksutamine""]"	plaksutamine	1	00:00:00.406	2018-09-25 18:17:28.696	16	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	GB_child.wav	"[""laps"", ""plaksutamine""]"	plaksutamine	1	00:00:00.499	2018-09-25 18:17:29.24	49	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	IL_woman.wav	"[""naine"", ""plaksutamine""]"	plaksutamine	1	00:00:00.421	2018-09-25 18:17:29.705	80	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	IL_this.wav	"[""see"", ""plaksutamine""]"	plaksutamine	1	00:00:00.339	2018-09-25 18:17:30.088	91	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	IL_hunt.wav	"[""jahtima"", ""plaksutamine""]"	plaksutamine	1	00:00:00.441	2018-09-25 18:17:30.576	55	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	SU_child.wav	"[""laps"", ""plaksutamine""]"	plaksutamine	1	00:00:00.381	2018-09-25 18:17:31	8	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	clapping.wav	"[""plaksutamine""]"	plaksutamine	1	00:00:00.296	2018-09-25 18:17:31.352	87	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	clapping.wav	"[""plaksutamine""]"	plaksutamine	1	00:00:00.393	2018-09-25 18:17:31.792	46	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	IL_sharp.wav	"[""terav"", ""plaksutamine""]"	plaksutamine	1	00:00:00.271	2018-09-25 18:17:32.104	72	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	BW_snake.wav	"[""madu"", ""plaksutamine""]"	plaksutamine	1	00:00:00.36	2018-09-25 18:17:32.504	18	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	KD_fruit.wav	"[""puuvili"", ""plaksutamine""]"	plaksutamine	1	00:00:00.358	2018-09-25 18:17:32.904	30	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	NC_hide.wav	"[""peitma"", ""plaksutamine""]"	plaksutamine	1	00:00:00.297	2018-09-25 18:17:33.248	76	q	q	
Iconicity (EE)	ICEE_0	ICEE_0_0	2051272	2018-09-25	F	2	q	q	q	q		undefined	GB_cook.wav	"[""süüa tegema"", ""plaksutamine""]"	plaksutamine	1	00:00:00.281	2018-09-25 18:17:33.584	65	q	q	
