experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	KR_cook.wav	"[""cocinar"", ""palmadas""]"	palmadas	2	00:00:12.733	2018-08-21 13:49:16.135	4	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	IL_man.wav	"[""hombre"", ""palmadas""]"	palmadas	1	00:00:02.913	2018-08-21 13:49:19.139	109	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	SU_water.wav	"[""agua"", ""palmadas""]"	palmadas	1	00:00:01.306	2018-08-21 13:49:20.487	42	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	KR_many.wav	"[""muchos"", ""palmadas""]"	palmadas	1	00:00:01.66	2018-08-21 13:49:22.188	55	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	BW_snake.wav	"[""serpiente"", ""palmadas""]"	palmadas	1	00:00:00.829	2018-08-21 13:49:23.059	54	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	SU_snake.wav	"[""serpiente"", ""palmadas""]"	palmadas	1	00:00:00.787	2018-08-21 13:49:23.887	76	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	NC_hide.wav	"[""esconder"", ""palmadas""]"	palmadas	1	00:00:00.786	2018-08-21 13:49:24.711	38	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	clapping.wav	"[""palmadas""]"	palmadas	1	00:00:00.81	2018-08-21 13:49:25.558	88	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	IL_small.wav	"[""pequeño"", ""palmadas""]"	palmadas	1	00:00:00.841	2018-08-21 13:49:26.435	139	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	IL_hide.wav	"[""esconder"", ""palmadas""]"	palmadas	1	00:00:01.085	2018-08-21 13:49:27.562	12	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	KD_deer.wav	"[""ciervo"", ""palmadas""]"	palmadas	1	00:00:01.04	2018-08-21 13:49:28.639	121	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	KD_cook.wav	"[""cocinar"", ""palmadas""]"	palmadas	1	00:00:00.952	2018-08-21 13:49:29.623	77	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	IL_woman.wav	"[""mujer"", ""palmadas""]"	palmadas	1	00:00:00.875	2018-08-21 13:49:30.534	60	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	clapping.wav	"[""palmadas""]"	palmadas	1	00:00:00.88	2018-08-21 13:49:31.451	158	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	NC_one.wav	"[""uno"", ""palmadas""]"	palmadas	1	00:00:00.89	2018-08-21 13:49:32.378	28	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	BW_that.wav	"[""eso"", ""palmadas""]"	palmadas	1	00:00:00.771	2018-08-21 13:49:33.187	103	q	q	
Iconicity (ES)	ICES_0	ICES_0_0	2037016	2018-08-21	F	2	q	q	q	q		undefined	SU_this.wav	"[""esto"", ""palmadas""]"	palmadas	1	00:00:01.266	2018-08-21 13:49:34.487	40	q	q	
