experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (FI)	ICFI_0	ICFI_0_0	2090008	2018-11-06	F	2	q	q	q	q	q	weak_hearing	IL_hunt.wav	"[""metsästää"", ""taputtaa""]"	mies	1	00:00:05.032	2018-11-06 09:00:50.152	116	q	q	q
Iconicity (FI)	ICFI_0	ICFI_0_0	2090008	2018-11-06	F	2	q	q	q	q	q	weak_hearing	IL_hide.wav	"[""piiloutua"", ""taputtaa""]"	piiloutua	1	00:00:03.582	2018-11-06 09:00:53.851	10	q	q	q
Iconicity (FI)	ICFI_0	ICFI_0_0	2090008	2018-11-06	F	2	q	q	q	q	q	weak_hearing	KR_cook.wav	"[""laittaa ruokaa"", ""taputtaa""]"	kerätä	1	00:00:02.218	2018-11-06 09:00:56.149	137	q	q	q
Iconicity (FI)	ICFI_0	ICFI_0_0	2090008	2018-11-06	F	2	q	q	q	q	q	weak_hearing	NC_pound.wav	"[""rynkyttää"", ""taputtaa""]"	hyvä	1	00:00:03.09	2018-11-06 09:00:59.357	53	q	q	q
Iconicity (FI)	ICFI_0	ICFI_0_0	2090008	2018-11-06	F	2	q	q	q	q	q	weak_hearing	NC_this.wav	"[""tämä"", ""taputtaa""]"	kerätä	1	00:00:02.154	2018-11-06 09:01:01.601	115	q	q	q
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	KR_sleep.wav	"[""nukkua"", ""taputtaa""]"	nukkua	2	00:00:41.631	2018-12-11 11:58:34.583	117	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	BW_snake.wav	"[""käärme"", ""taputtaa""]"	käärme	2	00:00:15.971	2018-12-11 11:58:50.662	191	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	NC_deer.wav	"[""peura"", ""taputtaa""]"	peura	2	00:00:27.351	2018-12-11 11:59:18.121	69	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	NC_pound.wav	"[""rynkyttää"", ""taputtaa""]"	iso, suuri	2	00:00:14.904	2018-12-11 11:59:33.136	53	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	IL_water.wav	"[""vesi"", ""taputtaa""]"	syödä	2	00:00:20.476	2018-12-11 11:59:53.718	129	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	AB_gather.wav	"[""kerätä"", ""taputtaa""]"	käärme	4	00:00:48.608	2018-12-11 12:00:42.427	183	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	IL_small.wav	"[""pieni"", ""taputtaa""]"	pieni	2	00:00:14.85	2018-12-11 12:00:57.525	75	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	clapping.wav	"[""taputtaa""]"	taputtaa	2	00:00:09.543	2018-12-11 12:01:07.224	64	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	clapping.wav	"[""taputtaa""]"	taputtaa	1	00:00:08.039	2018-12-11 12:01:15.412	79	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	SU_cut.wav	"[""leikata"", ""taputtaa""]"	leikata	2	00:00:09.902	2018-12-11 12:01:25.416	111	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	TM_small.wav	"[""pieni"", ""taputtaa""]"	lapsi	2	00:00:13.778	2018-12-11 12:01:39.346	68	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	clapping.wav	"[""taputtaa""]"	taputtaa	1	00:00:05.583	2018-12-11 12:01:45.029	177	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	KR_pound.wav	"[""rynkyttää"", ""taputtaa""]"	tylsä	2	00:00:10.548	2018-12-11 12:01:55.679	71	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	clapping.wav	"[""taputtaa""]"	taputtaa	1	00:00:08.27	2018-12-11 12:02:04.084	142	finnish	english, swedish, (german)	helsinki
Iconicity (FI)	ICFI_0	ICFI_0_0	2114535	2018-12-11	F	45	Helsinki	Suomi	suomi	englanti, ruotsi, (saksa)	helsingin seudun yleiskieli	normal	clapping.wav	"[""taputtaa""]"	taputtaa	1	00:00:14.131	2018-12-11 12:02:18.321	166	finnish	english, swedish, (german)	helsinki
