experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (FR)	ICFR_0	ICFR_0_0	2073832	2018-10-15	F	2	q	q	q	q		undefined	clapping.wav	"[""applaudissements""]"	applaudissements	1	00:00:04.589	2018-10-15 19:12:09.298	149	q	q	
Iconicity (FR)	ICFR_0	ICFR_0_0	2073832	2018-10-15	F	2	q	q	q	q		undefined	NC_that.wav	"[""celui-là"", ""applaudissements""]"	dormir	1	00:00:04.152	2018-10-15 19:12:13.499	56	q	q	
Iconicity (FR)	ICFR_0	ICFR_0_0	2074614	2018-10-16	F	40	Beaufort, Savoie, France	France	français	anglais	non	undefined	LJ_many.wav	"[""beaucoup"", ""applaudissements""]"	beaucoup	4	00:00:53.066	2018-10-16 14:51:25.862	192	french	english	
Iconicity (FR)	ICFR_0	ICFR_0_0	2074614	2018-10-16	F	40	Beaufort, Savoie, France	France	français	anglais	non	undefined	BW_woman.wav	"[""femme"", ""applaudissements""]"	petit	12	00:00:28.33	2018-10-16 14:51:54.296	150	french	english	
Iconicity (FR)	ICFR_0	ICFR_0_0	2074614	2018-10-16	F	40	Beaufort, Savoie, France	France	français	anglais	non	undefined	GB_big.wav	"[""grand"", ""applaudissements""]"	homme	3	00:00:12.875	2018-10-16 14:52:07.273	60	french	english	
Iconicity (FR)	ICFR_0	ICFR_0_0	2074614	2018-10-16	F	40	Beaufort, Savoie, France	France	français	anglais	non	undefined	KD_knife.wav	"[""couteau"", ""applaudissements""]"	serpent	3	00:00:07.406	2018-10-16 14:52:14.776	132	french	english	
Iconicity (FR)	ICFR_0	ICFR_0_0	2074614	2018-10-16	F	40	Beaufort, Savoie, France	France	français	anglais	non	undefined	KR_meat.wav	"[""viande"", ""applaudissements""]"	manger	2	00:00:08.262	2018-10-16 14:52:23.161	12	french	english	
Iconicity (FR)	ICFR_0	ICFR_0_0	2074614	2018-10-16	F	40	Beaufort, Savoie, France	France	français	anglais	non	undefined	BW_that.wav	"[""celui-là"", ""applaudissements""]"	celui-là	9	00:00:19.34	2018-10-16 14:52:42.61	72	french	english	
Iconicity (FR)	ICFR_0	ICFR_0_0	2074614	2018-10-16	F	40	Beaufort, Savoie, France	France	français	anglais	non	undefined	KD_deer.wav	"[""cerf"", ""applaudissements""]"	cuisiner	2	00:00:08.79	2018-10-16 14:52:51.491	176	french	english	
Iconicity (FR)	ICFR_0	ICFR_0_0	2074614	2018-10-16	F	40	Beaufort, Savoie, France	France	français	anglais	non	undefined	NC_hide.wav	"[""cacher"", ""applaudissements""]"	cacher	4	00:00:08.741	2018-10-16 14:53:00.323	120	french	english	
Iconicity (FR)	ICFR_0	ICFR_0_0	2074614	2018-10-16	F	40	Beaufort, Savoie, France	France	français	anglais	non	undefined	IL_fruit.wav	"[""fruit"", ""applaudissements""]"	pierre	4	00:00:15.618	2018-10-16 14:53:16.038	5	french	english	
