experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	KR_cook.wav	"[""საჭმლის მომზადება"", ""ტაშის დაკვრა, შემოკვრა""]"	ეს	0	00:04:46.251	2018-10-18 13:13:51.281	105	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	IL_pound.wav	"[""ცემა, ძგერა (გულის)"", ""ტაშის დაკვრა, შემოკვრა""]"	საჭმლის მომზადება	0	00:00:07.173	2018-10-18 13:13:58.797	45	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	clapping.wav	"[""ტაშის დაკვრა, შემოკვრა""]"	ერთი	1	00:00:07.548	2018-10-18 13:14:06.459	147	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	NC_one.wav	"[""ერთი"", ""ტაშის დაკვრა, შემოკვრა""]"	ბავშვი	1	00:00:06.134	2018-10-18 13:14:12.705	30	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	GB_dull.wav	"[""მშრალი, გამომშრალი, ყრუ, უინტერესო, მოსაწყენი"", ""ტაშის დაკვრა, შემოკვრა""]"	ცემა, ძგერა (გულის)	3	00:00:29.339	2018-10-18 13:14:42.167	137	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	KR_gather.wav	"[""შეკრება"", ""ტაშის დაკვრა, შემოკვრა""]"	დაჭრა, ჩაჭრა, დანაწევრება, შემცირება	4	00:00:19.7	2018-10-18 13:15:01.992	118	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	SU_rock.wav	"[""ქვა"", ""ტაშის დაკვრა, შემოკვრა""]"	ტაშის დაკვრა, შემოკვრა	4	00:00:24.153	2018-10-18 13:15:26.265	121	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	KD_deer.wav	"[""ირემი"", ""ტაშის დაკვრა, შემოკვრა""]"	დაჭრა, ჩაჭრა, დანაწევრება, შემცირება	5	00:02:21.689	2018-10-18 13:17:48.083	114	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	clapping.wav	"[""ტაშის დაკვრა, შემოკვრა""]"	ტაშის დაკვრა, შემოკვრა	1	00:00:04.572	2018-10-18 13:17:53.024	82	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	GB_many.wav	"[""ბევრი"", ""ტაშის დაკვრა, შემოკვრა""]"	საჭმლის მომზადება	5	00:00:29.307	2018-10-18 13:18:22.462	38	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	NC_small.wav	"[""პატარა"", ""ტაშის დაკვრა, შემოკვრა""]"	ძილი	2	00:00:05.445	2018-10-18 13:18:28.093	55	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	KR_pound.wav	"[""ცემა, ძგერა (გულის)"", ""ტაშის დაკვრა, შემოკვრა""]"	ცემა, ძგერა (გულის)	4	00:00:14.313	2018-10-18 13:18:42.522	73	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	LJ_many.wav	"[""ბევრი"", ""ტაშის დაკვრა, შემოკვრა""]"	წყალი	4	00:00:20.721	2018-10-18 13:19:03.359	35	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	NC_tiger.wav	"[""ვეფხვი"", ""ტაშის დაკვრა, შემოკვრა""]"	ვეფხვი	1	00:00:04.463	2018-10-18 13:19:07.943	27	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	KR_rock.wav	"[""ქვა"", ""ტაშის დაკვრა, შემოკვრა""]"	ჭამა	8	00:00:28.845	2018-10-18 13:19:36.9	40	georgian	english	kakhuri
Iconicity (GE)	ICGE_0	ICGE_0_0	2078462	2018-10-18	F	24	საგარეჯო, საქართველო	საქართველო	ქართული	ინგლისური	კახური	undefined	IL_bad.wav	"[""ცუდი"", ""ტაშის დაკვრა, შემოკვრა""]"	ირემი	2	00:00:08.179	2018-10-18 13:19:45.218	16	georgian	english	kakhuri
