experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	IL_meat.wav	"[""hús"", ""taps""]"	hús	1	00:00:35.743	2018-11-10 01:35:53.708	141	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	KR_cut.wav	"[""vág"", ""taps""]"	vág	1	00:00:08.063	2018-11-10 01:36:01.932	55	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	IL_fire.wav	"[""tűz"", ""taps""]"	rossz	2	00:00:16.775	2018-11-10 01:36:18.867	78	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	BW_meat.wav	"[""hús"", ""taps""]"	eszik	1	00:00:05.836	2018-11-10 01:36:24.859	41	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	IL_sharp.wav	"[""éles"", ""taps""]"	kő	2	00:00:12.18	2018-11-10 01:36:37.203	131	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	SU_child.wav	"[""gyerek"", ""taps""]"	gyerek	1	00:00:05.442	2018-11-10 01:36:42.811	142	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	GB_big.wav	"[""nagy"", ""taps""]"	nagy	1	00:00:10.191	2018-11-10 01:36:53.162	26	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	KR_pound.wav	"[""üt"", ""taps""]"	üt	1	00:00:04.251	2018-11-10 01:36:57.578	62	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	AB_gather.wav	"[""gyűjt"", ""taps""]"	vadászik	1	00:00:11.69	2018-11-10 01:37:09.434	61	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	BW_knife.wav	"[""kés"", ""taps""]"	szarvas	1	00:00:07.804	2018-11-10 01:37:17.402	66	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	KD_deer.wav	"[""szarvas"", ""taps""]"	rossz	1	00:00:10.182	2018-11-10 01:37:27.745	100	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	KD_that.wav	"[""az"", ""taps""]"	az	1	00:00:08.089	2018-11-10 01:37:36.002	14	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	clapping.wav	"[""taps""]"	taps	1	00:00:04.365	2018-11-10 01:37:40.529	132	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	IL_deer.wav	"[""szarvas"", ""taps""]"	kicsi	1	00:00:06.498	2018-11-10 01:37:47.194	73	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	KR_cook.wav	"[""főz"", ""taps""]"	tompa	1	00:00:04.744	2018-11-10 01:37:52.113	175	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	BW_one.wav	"[""egy"", ""taps""]"	tűz	1	00:00:05.725	2018-11-10 01:37:58.001	144	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	SU_this.wav	"[""ez"", ""taps""]"	rossz	2	00:00:06.773	2018-11-10 01:38:04.937	172	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	BW_snake.wav	"[""kígyó"", ""taps""]"	kígyó	1	00:00:04.748	2018-11-10 01:38:09.849	196	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	BW_man.wav	"[""férfi"", ""taps""]"	férfi	1	00:00:04.507	2018-11-10 01:38:14.512	95	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	GB_fire.wav	"[""tűz"", ""taps""]"	tűz	1	00:00:06.697	2018-11-10 01:38:21.368	113	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2095333	2018-11-10	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	nem	normal	clapping.wav	"[""taps""]"	taps	1	00:00:03.236	2018-11-10 01:38:24.769	46	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	KR_woman.wav	"[""nő"", ""taps""]"	gyümölcs	1	00:00:07.309	2018-11-19 14:46:37.94	30	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	IL_hide.wav	"[""rejt"", ""taps""]"	vág	1	00:00:05.813	2018-11-19 14:46:44.076	19	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	clapping.wav	"[""taps""]"	gyerek	0	00:00:03.134	2018-11-19 14:46:47.541	73	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	BW_that.wav	"[""az"", ""taps""]"	ez	0	00:00:00.706	2018-11-19 14:46:48.556	146	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	KR_gather.wav	"[""gyűjt"", ""taps""]"	gyümölcs	0	00:00:00.609	2018-11-19 14:46:49.477	153	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	KD_sleep.wav	"[""alszik"", ""taps""]"	hús	0	00:00:01.408	2018-11-19 14:46:51.196	93	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	KD_deer.wav	"[""szarvas"", ""taps""]"	gyerek	0	00:00:00.965	2018-11-19 14:46:52.469	100	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	KD_that.wav	"[""az"", ""taps""]"	nő	0	00:00:00.756	2018-11-19 14:46:53.532	14	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	IL_pound.wav	"[""üt"", ""taps""]"	gyűjt	0	00:00:00.651	2018-11-19 14:46:54.492	90	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	clapping.wav	"[""taps""]"	nő	0	00:00:00.594	2018-11-19 14:46:55.412	198	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	GB_fire.wav	"[""tűz"", ""taps""]"	tűz	0	00:00:00.867	2018-11-19 14:46:56.587	113	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	SU_child.wav	"[""gyerek"", ""taps""]"	víz	0	00:00:00.601	2018-11-19 14:46:57.492	142	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	BW_one.wav	"[""egy"", ""taps""]"	tűz	0	00:00:00.539	2018-11-19 14:46:58.339	144	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	GB_bad.wav	"[""rossz"", ""taps""]"	sok	0	00:00:00.484	2018-11-19 14:46:59.132	26	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	clapping.wav	"[""taps""]"	eszik	0	00:00:00.442	2018-11-19 14:46:59.891	132	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	KD_sharp.wav	"[""éles"", ""taps""]"	eszik	0	00:00:00.428	2018-11-19 14:47:00.628	144	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	NC_good.wav	"[""jó"", ""taps""]"	szarvas	0	00:00:00.416	2018-11-19 14:47:01.356	162	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	KR_many.wav	"[""sok"", ""taps""]"	tompa	0	00:00:00.416	2018-11-19 14:47:02.083	167	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	clapping.wav	"[""taps""]"	egy	0	00:00:00.518	2018-11-19 14:47:02.908	65	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	SU_snake.wav	"[""kígyó"", ""taps""]"	szarvas	0	00:00:00.478	2018-11-19 14:47:03.724	5	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	KR_eat.wav	"[""eszik"", ""taps""]"	üt	0	00:00:00.468	2018-11-19 14:47:04.5	103	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	NC_this.wav	"[""ez"", ""taps""]"	gyerek	0	00:00:00.485	2018-11-19 14:47:05.292	49	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	IL_bad.wav	"[""rossz"", ""taps""]"	sok	0	00:00:00.429	2018-11-19 14:47:06.124	97	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	IL_man.wav	"[""férfi"", ""taps""]"	főz	0	00:00:00.459	2018-11-19 14:47:06.891	199	hungarian	english, french	
Iconicity (HU)	ICHU_0	ICHU_0_0	2100212	2018-11-19	M	36	Szeged, Magyarország	Kanada	magyar	angol, francia	standard	normal	BW_snake.wav	"[""kígyó"", ""taps""]"	rejt	0	00:00:00.5	2018-11-19 14:47:07.708	196	hungarian	english, french	
