experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (IT)	ICIT_0	ICIT_0_0	2061784	2018-10-04	F	2	q	q	q	q		undefined	SU_cut.wav	"[""tagliare"", ""applauso""]"	applauso	1	00:00:05.005	2018-10-04 15:53:17.829	80	q	q	
Iconicity (IT)	ICIT_0	ICIT_0_0	2061784	2018-10-04	F	2	q	q	q	q		undefined	GB_fruit.wav	"[""frutta"", ""applauso""]"	applauso	1	00:00:01.276	2018-10-04 15:53:19.164	170	q	q	
Iconicity (IT)	ICIT_0	ICIT_0_0	2061910	2018-10-04	F	2	q	q	q	q		undefined	IL_this.wav	"[""questo"", ""applauso""]"	questo	1	00:00:05.199	2018-10-04 16:26:18.683	193	q	q	
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	BW_bad.wav	"[""cattivo"", ""applauso""]"	cattivo	2	00:00:34.216	2018-10-04 17:17:39.691	163	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	NC_deer.wav	"[""cervo"", ""applauso""]"	cervo	4	00:00:46.549	2018-10-04 17:18:26.307	54	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	SU_rock.wav	"[""sasso"", ""applauso""]"	acqua	6	00:00:22.484	2018-10-04 17:18:49.058	86	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	GB_good.wav	"[""buono"", ""applauso""]"	buono	2	00:00:08.522	2018-10-04 17:18:57.962	100	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	SU_child.wav	"[""bambino"", ""applauso""]"	bambino	1	00:00:05.065	2018-10-04 17:19:03.091	183	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	GB_dull.wav	"[""smussato"", ""applauso""]"	acqua	2	00:00:09.407	2018-10-04 17:19:12.564	144	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	IL_rock.wav	"[""sasso"", ""applauso""]"	smussato	1	00:00:06.059	2018-10-04 17:19:18.699	49	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	BW_meat.wav	"[""carne"", ""applauso""]"	carne	1	00:00:05.734	2018-10-04 17:19:24.499	100	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	KR_cut.wav	"[""tagliare"", ""applauso""]"	tigre	1	00:00:06.041	2018-10-04 17:19:30.61	199	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	IL_pound.wav	"[""battere"", ""applauso""]"	battere	1	00:00:03.759	2018-10-04 17:19:34.434	104	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	IL_fire.wav	"[""fuoco"", ""applauso""]"	fuoco	1	00:00:06.181	2018-10-04 17:19:40.699	149	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	clapping.wav	"[""applauso""]"	applauso	1	00:00:02.994	2018-10-04 17:19:43.787	194	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	KD_hide.wav	"[""nascondere"", ""applauso""]"	grande	1	00:00:08.609	2018-10-04 17:19:52.468	92	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	NC_small.wav	"[""piccolo"", ""applauso""]"	uno	1	00:00:03.863	2018-10-04 17:19:56.387	199	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	KD_knife.wav	"[""coltello"", ""applauso""]"	quello	2	00:00:11.501	2018-10-04 17:20:07.971	157	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	KR_meat.wav	"[""carne"", ""applauso""]"	uomo	1	00:00:04.571	2018-10-04 17:20:12.603	111	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	KR_rock.wav	"[""sasso"", ""applauso""]"	sasso	1	00:00:05.612	2018-10-04 17:20:18.299	125	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	KR_one.wav	"[""uno"", ""applauso""]"	uno	2	00:00:08.37	2018-10-04 17:20:26.738	192	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	clapping.wav	"[""applauso""]"	applauso	1	00:00:02.479	2018-10-04 17:20:29.347	136	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	KR_cook.wav	"[""cucinare"", ""applauso""]"	affilato	1	00:00:07.126	2018-10-04 17:20:36.531	18	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	GB_fire.wav	"[""fuoco"", ""applauso""]"	fuoco	1	00:00:04.307	2018-10-04 17:20:40.907	9	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	NC_hide.wav	"[""nascondere"", ""applauso""]"	nascondere	1	00:00:03.663	2018-10-04 17:20:44.675	53	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	IL_small.wav	"[""piccolo"", ""applauso""]"	piccolo	1	00:00:03.587	2018-10-04 17:20:48.323	41	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	KD_water.wav	"[""acqua"", ""applauso""]"	acqua	1	00:00:03.227	2018-10-04 17:20:51.787	34	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	clapping.wav	"[""applauso""]"	applauso	1	00:00:02.522	2018-10-04 17:20:54.635	174	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	GB_cut.wav	"[""tagliare"", ""applauso""]"	tagliare	1	00:00:04.345	2018-10-04 17:20:59.051	69	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	GB_fruit.wav	"[""frutta"", ""applauso""]"	frutta	2	00:00:08.803	2018-10-04 17:21:08.026	170	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	BW_tiger.wav	"[""tigre"", ""applauso""]"	tigre	1	00:00:03.599	2018-10-04 17:21:11.691	173	italian	english	sicilian
Iconicity (IT)	ICIT_0	ICIT_0_0	2061913	2018-10-04	F	25	barcellona pozzo di gotto (ME), italia	barcellona pozzo di gotto (ME)	italiano	inglese	siciliano	undefined	IL_knife.wav	"[""coltello"", ""applauso""]"	tagliare	1	00:00:07.966	2018-10-04 17:21:19.771	191	italian	english	sicilian
