experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (JP)	ICJP_0	ICJP_0_0	2006775	2018-08-01	F	2	a	a	a	a		undefined	MS_big.wav	"[""大きい"", ""拍手""]"	叩く	1	00:06:20.378	2018-08-01 13:00:54.86	193	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006775	2018-08-01	F	2	a	a	a	a		undefined	clapping.wav	"[""拍手""]"	clapping	1	00:00:04.795	2018-08-01 13:00:59.826	198	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006775	2018-08-01	F	2	a	a	a	a		undefined	KD_that.wav	"[""あれ"", ""拍手""]"	あれ	1	00:00:43.219	2018-08-01 13:01:43.116	139	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006775	2018-08-01	F	2	a	a	a	a		undefined	IL_child.wav	"[""子ども"", ""拍手""]"	ひとつ(の)	1	00:00:03.742	2018-08-01 13:01:47.178	107	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006775	2018-08-01	F	2	a	a	a	a		undefined	IL_deer.wav	"[""鹿"", ""拍手""]"	多く(の)	1	00:00:02.67	2018-08-01 13:01:49.911	11	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006775	2018-08-01	F	2	a	a	a	a		undefined	IL_this.wav	"[""これ"", ""拍手""]"	食べる	2	00:00:04.007	2018-08-01 13:01:53.972	150	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006775	2018-08-01	F	2	a	a	a	a		undefined	IL_hide.wav	"[""隠す"", ""拍手""]"	虎	1	00:00:02.255	2018-08-01 13:01:56.284	138	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006775	2018-08-01	F	2	a	a	a	a		undefined	GB_many.wav	"[""多く(の)"", ""拍手""]"	水	1	00:00:03.949	2018-08-01 13:02:00.288	27	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006775	2018-08-01	F	2	a	a	a	a		undefined	NC_good.wav	"[""良い"", ""拍手""]"	良い	1	00:00:02.522	2018-08-01 13:02:02.864	137	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006775	2018-08-01	F	2	a	a	a	a		undefined	BW_hunt.wav	"[""狩る"", ""拍手""]"	水	1	00:01:42.076	2018-08-01 13:03:44.998	131	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006943	2018-08-01	F	2	q	q	q	q		undefined	BW_that.wav	"[""あれ"", ""拍手""]"	水	1	00:00:05.554	2018-08-01 19:31:04.562	19	q	q	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006943	2018-08-01	F	2	q	q	q	q		undefined	GB_hunt.wav	"[""狩る"", ""拍手""]"	火	2	00:00:19.455	2018-08-01 19:31:24.088	93	q	q	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006947	2018-08-02	F	40	a	a	a	a		undefined	BW_man.wav	"[""男"", ""拍手""]"	男	1	00:01:04.606	2018-08-02 08:31:45.289	159	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006947	2018-08-02	F	40	a	a	a	a		undefined	KD_hide.wav	"[""隠す"", ""拍手""]"	隠す	1	00:00:10.915	2018-08-02 08:31:56.598	68	a	a	
Iconicity (JP)	ICJP_0	ICJP_0_0	2006947	2018-08-02	F	40	a	a	a	a		undefined	SU_snake.wav	"[""蛇"", ""拍手""]"	蛇	2	00:00:10.468	2018-08-02 08:32:20.694	89	a	a	
