experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (KR)	ICKR_0	ICKR_0_0	2117126	2018-12-12	M	34	한국, 인덕원	독일	한국어	영어, 일본어		normal	NC_good.wav	"[""좋다"", ""박수""]"	좋다	1	00:00:31.849	2018-12-12 11:07:17.677	48	korean	english, japanese	
Iconicity (KR)	ICKR_0	ICKR_0_0	2117126	2018-12-12	M	34	한국, 인덕원	독일	한국어	영어, 일본어		normal	IL_fruit.wav	"[""열매"", ""박수""]"	사냥하다	1	00:00:13.927	2018-12-12 11:07:31.663	67	korean	english, japanese	
Iconicity (KR)	ICKR_0	ICKR_0_0	2117126	2018-12-12	M	34	한국, 인덕원	독일	한국어	영어, 일본어		normal	GB_hunt.wav	"[""사냥하다"", ""박수""]"	사냥하다	1	00:00:13.507	2018-12-12 11:07:45.217	12	korean	english, japanese	
Iconicity (KR)	ICKR_0	ICKR_0_0	2117126	2018-12-12	M	34	한국, 인덕원	독일	한국어	영어, 일본어		normal	IL_deer.wav	"[""사슴"", ""박수""]"	두드리다	1	00:00:04.771	2018-12-12 11:07:50.037	21	korean	english, japanese	
Iconicity (KR)	ICKR_0	ICKR_0_0	2117126	2018-12-12	M	34	한국, 인덕원	독일	한국어	영어, 일본어		normal	IL_man.wav	"[""남자"", ""박수""]"	남자	1	00:00:06.13	2018-12-12 11:07:56.219	15	korean	english, japanese	
Iconicity (KR)	ICKR_0	ICKR_0_0	2117126	2018-12-12	M	34	한국, 인덕원	독일	한국어	영어, 일본어		normal	IL_fire.wav	"[""불"", ""박수""]"	불	1	00:00:04.709	2018-12-12 11:08:00.979	149	korean	english, japanese	
Iconicity (KR)	ICKR_0	ICKR_0_0	2117126	2018-12-12	M	34	한국, 인덕원	독일	한국어	영어, 일본어		normal	GB_bad.wav	"[""나쁘다"", ""박수""]"	나쁘다	1	00:00:05.158	2018-12-12 11:08:06.185	112	korean	english, japanese	
Iconicity (KR)	ICKR_0	ICKR_0_0	2117126	2018-12-12	M	34	한국, 인덕원	독일	한국어	영어, 일본어		normal	clapping.wav	"[""박수""]"	박수	1	00:00:01.771	2018-12-12 11:08:08.006	53	korean	english, japanese	
Iconicity (KR)	ICKR_0	ICKR_0_0	2117126	2018-12-12	M	34	한국, 인덕원	독일	한국어	영어, 일본어		normal	GB_fire.wav	"[""불"", ""박수""]"	먹다	1	00:00:07.234	2018-12-12 11:08:15.29	171	korean	english, japanese	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	clapping.wav	"[""박수""]"	박수	1	00:00:32.772	2018-12-13 05:29:51.941	190	korean	english	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	IL_good.wav	"[""좋다"", ""박수""]"	이것	2	00:00:31.928	2018-12-13 05:30:24.442	179	korean	english	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	BW_one.wav	"[""하나"", ""박수""]"	작다	2	00:00:23.658	2018-12-13 05:30:48.555	80	korean	english	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	NC_that.wav	"[""그"", ""박수""]"	어린이	2	00:00:23.238	2018-12-13 05:31:12.248	88	korean	english	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	NC_sharp.wav	"[""날카롭다"", ""박수""]"	나쁘다	2	00:00:12.692	2018-12-13 05:31:25.423	36	korean	english	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	IL_dull.wav	"[""무디다"", ""박수""]"	무디다	1	00:00:08.892	2018-12-13 05:31:34.833	44	korean	english	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	clapping.wav	"[""박수""]"	박수	1	00:00:04.158	2018-12-13 05:31:39.452	131	korean	english	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	IL_hide.wav	"[""숨기다/숨다"", ""박수""]"	숨기다/숨다	2	00:00:14.614	2018-12-13 05:31:54.524	115	korean	english	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	NC_snake.wav	"[""뱀"", ""박수""]"	물	2	00:00:13.112	2018-12-13 05:32:08.129	184	korean	english	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	BW_meat.wav	"[""고기"", ""박수""]"	고기	2	00:00:12.318	2018-12-13 05:32:20.947	25	korean	english	
Iconicity (KR)	ICKR_0	ICKR_0_0	2119076	2018-12-13	F	53	한국-울진	한국	한국어	영어		normal	KR_many.wav	"[""많은"", ""박수""]"	나쁘다	2	00:00:09.271	2018-12-13 05:32:30.724	78	korean	english	
