experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (MG)	ICMG_0	ICMG_0_0	2119870	2018-12-16	F	25	Universite an Antananarivo	Alemana	malagasy	frantsay	tsia	normal	IL_good.wav	"[""tsara"", ""mitehaka""]"	lehilahy	3	00:01:01.449	2018-12-16 08:29:16.879	174	malagasy	french	
Iconicity (MG)	ICMG_0	ICMG_0_0	2119870	2018-12-16	F	25	Universite an Antananarivo	Alemana	malagasy	frantsay	tsia	normal	SU_this.wav	"[""inty"", ""mitehaka""]"	inty	9	00:00:49.412	2018-12-16 08:30:06.439	22	malagasy	french	
Iconicity (MG)	ICMG_0	ICMG_0_0	2119870	2018-12-16	F	25	Universite an Antananarivo	Alemana	malagasy	frantsay	tsia	normal	GB_many.wav	"[""maro"", ""mitehaka""]"	maro	7	00:00:49.098	2018-12-16 08:30:55.677	16	malagasy	french	
Iconicity (MG)	ICMG_0	ICMG_0_0	2119870	2018-12-16	F	25	Universite an Antananarivo	Alemana	malagasy	frantsay	tsia	normal	NC_sleep.wav	"[""matory"", ""mitehaka""]"	matory	2	00:00:07.636	2018-12-16 08:31:03.453	170	malagasy	french	
Iconicity (MG)	ICMG_0	ICMG_0_0	2119870	2018-12-16	F	25	Universite an Antananarivo	Alemana	malagasy	frantsay	tsia	normal	KD_fire.wav	"[""afo"", ""mitehaka""]"	tigra	4	00:00:28.389	2018-12-16 08:31:31.97	112	malagasy	french	
Iconicity (MG)	ICMG_0	ICMG_0_0	2119870	2018-12-16	F	25	Universite an Antananarivo	Alemana	malagasy	frantsay	tsia	normal	KD_knife.wav	"[""antsy"", ""mitehaka""]"	afo	5	00:00:27.277	2018-12-16 08:31:59.389	41	malagasy	french	
Iconicity (MG)	ICMG_0	ICMG_0_0	2119870	2018-12-16	F	25	Universite an Antananarivo	Alemana	malagasy	frantsay	tsia	normal	IL_man.wav	"[""lehilahy"", ""mitehaka""]"	lehilahy	1	00:00:07.22	2018-12-16 08:32:06.804	102	malagasy	french	
Iconicity (MG)	ICMG_0	ICMG_0_0	2119870	2018-12-16	F	25	Universite an Antananarivo	Alemana	malagasy	frantsay	tsia	normal	SU_water.wav	"[""rano"", ""mitehaka""]"	rano	2	00:00:08.243	2018-12-16 08:32:15.196	57	malagasy	french	
Iconicity (MG)	ICMG_0	ICMG_0_0	2119870	2018-12-16	F	25	Universite an Antananarivo	Alemana	malagasy	frantsay	tsia	normal	IL_knife.wav	"[""antsy"", ""mitehaka""]"	antsy	2	00:00:16.61	2018-12-16 08:32:31.943	70	malagasy	french	
Iconicity (MG)	ICMG_0	ICMG_0_0	2119870	2018-12-16	F	25	Universite an Antananarivo	Alemana	malagasy	frantsay	tsia	normal	NC_pound.wav	"[""mikapoka"", ""mitehaka""]"	mikapoka	1	00:00:07.062	2018-12-16 08:32:39.2	52	malagasy	french	
