experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	NC_sharp.wav	"[""tajam"", ""tepukan""]"	tajam	3	00:00:37.561	2019-03-03 03:16:10.263	198	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	GB_gather.wav	"[""mengumpulkan"", ""tepukan""]"	mengumpulkan	6	00:01:06.178	2019-03-03 03:17:16.978	161	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	KR_gather.wav	"[""mengumpulkan"", ""tepukan""]"	batu	3	00:00:15.16	2019-03-03 03:17:32.342	128	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	KR_rock.wav	"[""batu"", ""tepukan""]"	makan	6	00:00:22.622	2019-03-03 03:17:55.166	155	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	KD_water.wav	"[""air"", ""tepukan""]"	tepukan	7	00:00:28.679	2019-03-03 03:18:24.047	128	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	NC_good.wav	"[""baik"", ""tepukan""]"	anak	2	00:00:08.363	2019-03-03 03:18:32.663	178	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	NC_deer.wav	"[""rusa"", ""tepukan""]"	rusa	2	00:00:07.15	2019-03-03 03:18:40.015	72	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	SU_snake.wav	"[""ular"", ""tepukan""]"	ular	1	00:00:04.009	2019-03-03 03:18:44.223	41	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	NC_tiger.wav	"[""harimau"", ""tepukan""]"	harimau	2	00:00:13.887	2019-03-03 03:18:58.311	150	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	IL_meat.wav	"[""daging"", ""tepukan""]"	buruk	1	00:00:07.366	2019-03-03 03:19:05.878	3	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	IL_sharp.wav	"[""tajam"", ""tepukan""]"	perempuan	6	00:00:13.938	2019-03-03 03:19:20.022	134	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	IL_deer.wav	"[""rusa"", ""tepukan""]"	tidur	1	00:00:06.756	2019-03-03 03:19:27.014	102	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	GB_cook.wav	"[""memasak"", ""tepukan""]"	menyembunyikan	1	00:00:05.533	2019-03-03 03:19:32.75	4	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	IL_knife.wav	"[""pisau"", ""tepukan""]"	satu	1	00:00:10.739	2019-03-03 03:19:43.694	147	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	SU_child.wav	"[""anak"", ""tepukan""]"	anak	3	00:00:06.409	2019-03-03 03:19:50.31	171	malay	english, chinese	
Iconicity (MS)	ICMS_0	ICMS_0_0	2145827	2019-03-03	M	23	Puchong, Malaysia	Malaysia	bahasa melayu	bahasa inggeris, bahasa cina	tidak	normal	IL_woman.wav	"[""perempuan"", ""tepukan""]"	perempuan	1	00:00:04.297	2019-03-03 03:19:54.822	28	malay	english, chinese	
