experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (PL)	ICPL_0	ICPL_0_0	1997874	2018-07-11	F	27	undefined	Niemcy	polski	angielski, niemiecki		undefined	KD_knife.wav	"[""nóż"", ""klaskanie""]"	nóż	1	00:00:09.046	2018-07-11 11:09:18.094	103	polish	english, german	
Iconicity (PL)	ICPL_0	ICPL_0_0	1997874	2018-07-11	F	27	undefined	Niemcy	polski	angielski, niemiecki		undefined	KD_man.wav	"[""mężczyzna"", ""klaskanie""]"	mężczyzna	2	00:00:08.544	2018-07-11 11:09:26.678	286	polish	english, german	
Iconicity (PL)	ICPL_0	ICPL_0_0	1997874	2018-07-11	F	27	undefined	Niemcy	polski	angielski, niemiecki		undefined	IL_this.wav	"[""to"", ""klaskanie""]"	tamto	1	00:00:06.288	2018-07-11 11:09:33.007	199	polish	english, german	
Iconicity (PL)	ICPL_0	ICPL_0_0	1997874	2018-07-11	F	27	undefined	Niemcy	polski	angielski, niemiecki		undefined	IL_water.wav	"[""woda"", ""klaskanie""]"	woda	1	00:00:03.929	2018-07-11 11:09:36.978	150	polish	english, german	
Iconicity (PL)	ICPL_0	ICPL_0_0	1997874	2018-07-11	F	27	undefined	Niemcy	polski	angielski, niemiecki		undefined	KR_tiger.wav	"[""tygrys"", ""klaskanie""]"	tygrys	1	00:00:11.34	2018-07-11 11:09:48.358	1	polish	english, german	
Iconicity (PL)	ICPL_0	ICPL_0_0	1997874	2018-07-11	F	27	undefined	Niemcy	polski	angielski, niemiecki		undefined	SU_rock.wav	"[""kamień"", ""klaskanie""]"	kamień	1	00:00:06.688	2018-07-11 11:09:55.09	242	polish	english, german	
Iconicity (PL)	ICPL_0	ICPL_0_0	1997874	2018-07-11	F	27	undefined	Niemcy	polski	angielski, niemiecki		undefined	TM_small.wav	"[""mały"", ""klaskanie""]"	mały	1	00:00:04.773	2018-07-11 11:09:59.905	246	polish	english, german	
Iconicity (PL)	ICPL_0	ICPL_0_0	1997874	2018-07-11	F	27	undefined	Niemcy	polski	angielski, niemiecki		undefined	clapping.wav	"[""klaskanie""]"	klaskanie	8	00:00:37.407	2018-07-11 11:10:37.354	186	polish	english, german	
Iconicity (PL)	ICPL_0	ICPL_0_0	1997874	2018-07-11	F	27	undefined	Niemcy	polski	angielski, niemiecki		undefined	KR_eat.wav	"[""jeść"", ""klaskanie""]"	jeść	1	00:00:03.837	2018-07-11 11:10:41.237	79	polish	english, german	
Iconicity (PL)	ICPL_0	ICPL_0_0	1997874	2018-07-11	F	27	undefined	Niemcy	polski	angielski, niemiecki		undefined	SU_cut.wav	"[""ciąć"", ""klaskanie""]"	ciąć	1	00:00:04.421	2018-07-11 11:10:45.701	0	polish	english, german	
