experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (PT)	ICPT_0	ICPT_0_0	2105854	2018-11-27	F	2	q	q	q	q	q	normal	KD_water.wav	"[""água"", ""bater palmas""]"	pequeno	2	00:00:18.759	2018-11-27 15:18:24.311	22	q	q	q
Iconicity (PT)	ICPT_0	ICPT_0_0	2105854	2018-11-27	F	2	q	q	q	q	q	normal	KD_eat.wav	"[""comer"", ""bater palmas""]"	bater palmas	1	00:00:03.337	2018-11-27 15:18:27.713	92	q	q	q
Iconicity (PT)	ICPT_0	ICPT_0_0	2112296	2018-12-05	F	20	São Paulo 	Brasil	português 	inglês 	não 	normal	KD_man.wav	"[""homem"", ""bater palmas""]"	pedra	2	00:01:16.278	2018-12-05 14:43:47.668	198	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112296	2018-12-05	F	20	São Paulo 	Brasil	português 	inglês 	não 	normal	IL_child.wav	"[""criança"", ""bater palmas""]"	criança	2	00:02:43.468	2018-12-05 14:46:32.108	45	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	IL_eat.wav	"[""comer"", ""bater palmas""]"	comer	1	00:00:42.114	2018-12-05 15:19:14.371	54	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	LJ_many.wav	"[""muitos"", ""bater palmas""]"	muitos	2	00:00:34.845	2018-12-05 15:19:49.433	113	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	GB_good.wav	"[""bom"", ""bater palmas""]"	bom	1	00:00:09.389	2018-12-05 15:19:59.122	155	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	KD_sharp.wav	"[""afiado"", ""bater palmas""]"	cortar	2	00:00:13.158	2018-12-05 15:20:12.486	136	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	IL_woman.wav	"[""mulher"", ""bater palmas""]"	mulher	2	00:00:07.705	2018-12-05 15:20:20.462	199	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	MS_big.wav	"[""grande"", ""bater palmas""]"	bom	1	00:00:10.371	2018-12-05 15:20:31.04	198	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	BW_snake.wav	"[""cobra"", ""bater palmas""]"	cobra	1	00:00:11.723	2018-12-05 15:20:42.968	97	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	NC_pound.wav	"[""martelar"", ""bater palmas""]"	martelar	1	00:00:05.644	2018-12-05 15:20:48.879	175	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	BW_knife.wav	"[""faca"", ""bater palmas""]"	faca	1	00:00:09.01	2018-12-05 15:20:58.092	195	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	KD_fruit.wav	"[""fruta"", ""bater palmas""]"	fruta	1	00:00:10.115	2018-12-05 15:21:08.465	147	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	clapping.wav	"[""bater palmas""]"	bater palmas	1	00:00:06.605	2018-12-05 15:21:15.247	101	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	GB_many.wav	"[""muitos"", ""bater palmas""]"	bom	2	00:00:16.117	2018-12-05 15:21:31.6	16	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	KD_man.wav	"[""homem"", ""bater palmas""]"	homem	1	00:00:05.671	2018-12-05 15:21:37.548	198	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	KR_pound.wav	"[""martelar"", ""bater palmas""]"	martelar	2	00:00:08.846	2018-12-05 15:21:46.65	133	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	KR_meat.wav	"[""carne"", ""bater palmas""]"	carne	2	00:00:10.978	2018-12-05 15:21:57.895	5	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	BW_dull.wav	"[""rombo"", ""bater palmas""]"	caçar	3	00:00:14.485	2018-12-05 15:22:12.677	40	portuguese 	english 	
Iconicity (PT)	ICPT_0	ICPT_0_0	2112300	2018-12-05	M	37	São Paulo 	Estados Unidos 	português 	inglês 		normal	clapping.wav	"[""bater palmas""]"	bater palmas	1	00:00:03.606	2018-12-05 15:22:16.532	107	portuguese 	english 	
