experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (RO)	ICRO_0	ICRO_0_0	2042125	2018-08-28	F	2	q	q	q	q		undefined	clapping.wav	"[""aplauze""]"	căprioară	1	00:00:01.634	2018-08-28 18:32:07.073	53	q	q	
Iconicity (RO)	ICRO_0	ICRO_0_0	2042125	2018-08-28	F	2	q	q	q	q		undefined	GB_gather.wav	"[""a aduna"", ""aplauze""]"	mic	1	00:00:01.161	2018-08-28 18:32:08.296	108	q	q	
Iconicity (RO)	ICRO_0	ICRO_0_0	2042125	2018-08-28	F	2	q	q	q	q		undefined	KD_water.wav	"[""apă"", ""aplauze""]"	aplauze	1	00:00:00.938	2018-08-28 18:32:09.276	25	q	q	
Iconicity (RO)	ICRO_0	ICRO_0_0	2042125	2018-08-28	F	2	q	q	q	q		undefined	BW_hunt.wav	"[""a vâna"", ""aplauze""]"	aplauze	1	00:00:00.911	2018-08-28 18:32:10.228	32	q	q	
Iconicity (RO)	ICRO_0	ICRO_0_0	2042125	2018-08-28	F	2	q	q	q	q		undefined	KR_gather.wav	"[""a aduna"", ""aplauze""]"	aplauze	1	00:00:00.95	2018-08-28 18:32:11.22	71	q	q	
Iconicity (RO)	ICRO_0	ICRO_0_0	2042125	2018-08-28	F	2	q	q	q	q		undefined	KR_tiger.wav	"[""tigru"", ""aplauze""]"	aplauze	1	00:00:01.018	2018-08-28 18:32:12.28	91	q	q	
Iconicity (RO)	ICRO_0	ICRO_0_0	2042125	2018-08-28	F	2	q	q	q	q		undefined	IL_fruit.wav	"[""fruct"", ""aplauze""]"	aplauze	1	00:00:00.845	2018-08-28 18:32:13.16	160	q	q	
Iconicity (RO)	ICRO_0	ICRO_0_0	2042125	2018-08-28	F	2	q	q	q	q		undefined	NC_this.wav	"[""acest"", ""aplauze""]"	aplauze	1	00:00:00.968	2018-08-28 18:32:14.165	194	q	q	
Iconicity (RO)	ICRO_0	ICRO_0_0	2042125	2018-08-28	F	2	q	q	q	q		undefined	IL_bad.wav	"[""rău"", ""aplauze""]"	aplauze	1	00:00:00.87	2018-08-28 18:32:15.068	112	q	q	
Iconicity (RO)	ICRO_0	ICRO_0_0	2042125	2018-08-28	F	2	q	q	q	q		undefined	NC_tiger.wav	"[""tigru"", ""aplauze""]"	aplauze	1	00:00:00.846	2018-08-28 18:32:15.949	74	q	q	
