experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (RU)	ICRU_0	ICRU_0_0	2036633	2018-08-20	F	2	q	q	q	q		undefined	IL_pound.wav	"[""бить(ся)"", ""хлопание""]"	хлопание	1	00:00:00.872	2018-08-20 14:18:29.42	131	q	q	
Iconicity (RU)	ICRU_0	ICRU_0_0	2036633	2018-08-20	F	2	q	q	q	q		undefined	IL_fire.wav	"[""огонь"", ""хлопание""]"	хлопание	1	00:00:00.911	2018-08-20 14:18:30.375	82	q	q	
Iconicity (RU)	ICRU_0	ICRU_0_0	2036633	2018-08-20	F	2	q	q	q	q		undefined	KD_sleep.wav	"[""спать"", ""хлопание""]"	хлопание	1	00:00:00.91	2018-08-20 14:18:31.328	175	q	q	
Iconicity (RU)	ICRU_0	ICRU_0_0	2036633	2018-08-20	F	2	q	q	q	q		undefined	clapping.wav	"[""хлопание""]"	хлопание	1	00:00:01.019	2018-08-20 14:18:32.393	184	q	q	
Iconicity (RU)	ICRU_0	ICRU_0_0	2036633	2018-08-20	F	2	q	q	q	q		undefined	NC_pound.wav	"[""бить(ся)"", ""хлопание""]"	хлопание	1	00:00:01.024	2018-08-20 14:18:33.461	99	q	q	
Iconicity (RU)	ICRU_0	ICRU_0_0	2036633	2018-08-20	F	2	q	q	q	q		undefined	IL_deer.wav	"[""олень"", ""хлопание""]"	хлопание	1	00:00:00.933	2018-08-20 14:18:34.476	50	q	q	
Iconicity (RU)	ICRU_0	ICRU_0_0	2036633	2018-08-20	F	2	q	q	q	q		undefined	BW_snake.wav	"[""змея"", ""хлопание""]"	хлопание	1	00:00:00.873	2018-08-20 14:18:35.388	84	q	q	
Iconicity (RU)	ICRU_0	ICRU_0_0	2036633	2018-08-20	F	2	q	q	q	q		undefined	IL_hide.wav	"[""прятать(ся)"", ""хлопание""]"	хлопание	1	00:00:01.126	2018-08-20 14:18:36.553	50	q	q	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	clapping.wav	"[""хлопание""]"	хлопание	6	00:00:50.811	2018-08-23 16:46:31.41	45	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	BW_big.wav	"[""плохой"", ""хлопание""]"	хороший	3	00:00:15.604	2018-08-23 16:46:47.073	145	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	NC_sharp.wav	"[""острый"", ""хлопание""]"	острый	4	00:00:32.185	2018-08-23 16:47:19.316	196	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	NC_small.wav	"[""маленький"", ""хлопание""]"	маленький	3	00:00:13.145	2018-08-23 16:47:32.524	133	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	GB_many.wav	"[""много"", ""хлопание""]"	вода	3	00:00:13.903	2018-08-23 16:47:46.488	78	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	IL_eat.wav	"[""есть"", ""хлопание""]"	есть	1	00:00:06.416	2018-08-23 16:47:52.961	170	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	BW_meat.wav	"[""мясо"", ""хлопание""]"	мясо	2	00:00:13.355	2018-08-23 16:48:06.374	75	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	KD_eat.wav	"[""есть"", ""хлопание""]"	есть	1	00:00:06.053	2018-08-23 16:48:12.486	166	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	KD_that.wav	"[""тот"", ""хлопание""]"	тот	7	00:01:08.493	2018-08-23 16:49:21.039	86	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	KD_fruit.wav	"[""фрукт"", ""хлопание""]"	фрукт	3	00:00:15.96	2018-08-23 16:49:37.13	162	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	BW_dull.wav	"[""тупой"", ""хлопание""]"	тупой	3	00:00:10.052	2018-08-23 16:49:47.243	47	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	GB_hunt.wav	"[""охотиться"", ""хлопание""]"	охотиться	1	00:00:05.901	2018-08-23 16:49:53.202	81	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	GB_big.wav	"[""большой"", ""хлопание""]"	большой	4	00:00:19.734	2018-08-23 16:50:12.992	116	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	IL_dull.wav	"[""тупой"", ""хлопание""]"	тупой	1	00:00:05.962	2018-08-23 16:50:19.042	197	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	NC_deer.wav	"[""олень"", ""хлопание""]"	олень	2	00:00:09.466	2018-08-23 16:50:28.562	101	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	SU_water.wav	"[""вода"", ""хлопание""]"	хлопание	7	00:00:49.539	2018-08-23 16:51:18.162	48	ukrainian, russian	english, german	
Iconicity (RU)	ICRU_0	ICRU_0_0	2038822	2018-08-23	F	26	Тернополь, Украина	Германия	украинский, русский	английский, немецкий	нет	undefined	IL_rock.wav	"[""камень"", ""хлопание""]"	камень	2	00:00:08.321	2018-08-23 16:51:26.621	92	ukrainian, russian	english, german	
