experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (SE)	ICSE_0	ICSE_0_0	2049551	2018-09-24	F	2	q	q	q	q		undefined	IL_hide.wav	"[""gömma"", ""handklappning""]"	sova	1	00:00:05.422	2018-09-24 14:00:39.21	84	q	q	
Iconicity (SE)	ICSE_0	ICSE_0_0	2049551	2018-09-24	F	2	q	q	q	q		undefined	KD_fire.wav	"[""eld"", ""handklappning""]"	vatten	1	00:00:01.155	2018-09-24 14:00:40.41	98	q	q	
Iconicity (SE)	ICSE_0	ICSE_0_0	2049551	2018-09-24	F	2	q	q	q	q		undefined	KR_many.wav	"[""många"", ""handklappning""]"	många	1	00:00:01.141	2018-09-24 14:00:41.602	87	q	q	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	NC_small.wav	"[""liten"", ""handklappning""]"	liten	4	00:00:44.562	2018-10-08 09:11:56.956	37	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	SU_rock.wav	"[""sten"", ""handklappning""]"	vatten	5	00:00:34.024	2018-10-08 09:12:31.49	40	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	NC_pound.wav	"[""dunka"", ""handklappning""]"	dunka	2	00:00:11.657	2018-10-08 09:12:43.386	90	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	IL_child.wav	"[""barn"", ""handklappning""]"	barn	2	00:00:18.036	2018-10-08 09:13:01.665	86	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	clapping.wav	"[""handklappning""]"	handklappning	1	00:00:06.76	2018-10-08 09:13:08.665	100	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	GB_big.wav	"[""stor"", ""handklappning""]"	stor	2	00:00:12.125	2018-10-08 09:13:21.033	29	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	LJ_many.wav	"[""många"", ""handklappning""]"	många	7	00:00:44.198	2018-10-08 09:14:05.471	54	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	GB_cut.wav	"[""skära"", ""handklappning""]"	laga (mat)	1	00:00:27.278	2018-10-08 09:14:33.206	69	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	SU_this.wav	"[""den här"", ""handklappning""]"	sova	5	00:01:11.696	2018-10-08 09:15:45.147	87	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	BW_man.wav	"[""man"", ""handklappning""]"	man	3	00:05:31.097	2018-10-08 09:21:16.702	26	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	clapping.wav	"[""handklappning""]"	handklappning	1	00:00:03.681	2018-10-08 09:21:20.846	70	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	IL_dull.wav	"[""slö"", ""handklappning""]"	slö	1	00:00:05.955	2018-10-08 09:21:27.046	9	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	clapping.wav	"[""handklappning""]"	handklappning	1	00:00:02.443	2018-10-08 09:21:29.734	71	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	clapping.wav	"[""handklappning""]"	handklappning	1	00:00:58.872	2018-10-08 09:22:28.852	55	swedish, korean	english	
Iconicity (SE)	ICSE_0	ICSE_0_0	2066393	2018-10-08	F	22	solna, sverige	sverige	svenska, koreanska	engelska		undefined	IL_hide.wav	"[""gömma"", ""handklappning""]"	gömma	1	00:00:18.185	2018-10-08 09:22:47.491	84	swedish, korean	english	
