experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (TA)	ICTA_0	ICTA_0_0	2073838	2018-10-15	F	2	q	q	q	q		undefined	IL_hide.wav	"[""மறை"", ""கைதட்டும்""]"	தீமையான	1	00:00:03.447	2018-10-15 19:19:06.324	72	q	q	
Iconicity (TA)	ICTA_0	ICTA_0_0	2073838	2018-10-15	F	2	q	q	q	q		undefined	GB_many.wav	"[""நிறைய"", ""கைதட்டும்""]"	வேட்டையாடு	1	00:00:03.325	2018-10-15 19:19:09.707	124	q	q	
Iconicity (TA)	ICTA_0	ICTA_0_0	2073838	2018-10-15	F	2	q	q	q	q		undefined	BW_meat.wav	"[""கறி"", ""கைதட்டும்""]"	வேட்டையாடு	1	00:00:03.112	2018-10-15 19:19:12.867	110	q	q	
Iconicity (TA)	ICTA_0	ICTA_0_0	2083161	2018-10-22	F	38	India 	Singapore 	tamil	english 	thanjavur	undefined	IL_small.wav	"[""சிறிய"", ""கைதட்டும்""]"	பாம்பு	11	00:02:20.854	2018-10-22 16:38:57.484	83	tamil	english 	thanjavur
Iconicity (TA)	ICTA_0	ICTA_0_0	2083161	2018-10-22	F	38	India 	Singapore 	tamil	english 	thanjavur	undefined	KD_deer.wav	"[""மான்"", ""கைதட்டும்""]"	கைதட்டும்	1	00:00:25.557	2018-10-22 16:39:23.995	69	tamil	english 	thanjavur
Iconicity (TA)	ICTA_0	ICTA_0_0	2083161	2018-10-22	F	38	India 	Singapore 	tamil	english 	thanjavur	undefined	clapping.wav	"[""கைதட்டும்""]"	தீமையான	1	00:00:10.356	2018-10-22 16:39:35.364	49	tamil	english 	thanjavur
Iconicity (TA)	ICTA_0	ICTA_0_0	2083161	2018-10-22	F	38	India 	Singapore 	tamil	english 	thanjavur	undefined	clapping.wav	"[""கைதட்டும்""]"	தண்ணீர்	1	00:00:09.474	2018-10-22 16:39:45.681	167	tamil	english 	thanjavur
Iconicity (TA)	ICTA_0	ICTA_0_0	2083161	2018-10-22	F	38	India 	Singapore 	tamil	english 	thanjavur	undefined	BW_meat.wav	"[""கறி"", ""கைதட்டும்""]"	குழந்தை	1	00:00:15.321	2018-10-22 16:40:01.848	110	tamil	english 	thanjavur
Iconicity (TA)	ICTA_0	ICTA_0_0	2083161	2018-10-22	F	38	India 	Singapore 	tamil	english 	thanjavur	undefined	clapping.wav	"[""கைதட்டும்""]"	கறி	1	00:00:11.214	2018-10-22 16:40:13.901	30	tamil	english 	thanjavur
Iconicity (TA)	ICTA_0	ICTA_0_0	2083161	2018-10-22	F	38	India 	Singapore 	tamil	english 	thanjavur	undefined	clapping.wav	"[""கைதட்டும்""]"	கைதட்டும்	2	00:00:18.211	2018-10-22 16:40:32.898	60	tamil	english 	thanjavur
