experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	IL_rock.wav	"[""หิน"", ""เสียงปรบมือ""]"	หิน	3	00:00:56.013	2018-12-04 02:54:15.066	83	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	IL_hunt.wav	"[""ล่า"", ""เสียงปรบมือ""]"	ล่า	1	00:00:10.89	2018-12-04 02:54:26.364	173	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	BW_bad.wav	"[""แย่"", ""เสียงปรบมือ""]"	เสือ	3	00:00:13.131	2018-12-04 02:54:39.771	25	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	BW_hunt.wav	"[""ล่า"", ""เสียงปรบมือ""]"	ล่า	3	00:00:15.909	2018-12-04 02:54:56.066	77	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	GB_gather.wav	"[""รวบรวม เก็บ"", ""เสียงปรบมือ""]"	เด็ก	2	00:00:22.07	2018-12-04 02:55:18.522	120	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	IL_good.wav	"[""ดี"", ""เสียงปรบมือ""]"	ดี	3	00:00:20.996	2018-12-04 02:55:39.854	41	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	GB_bad.wav	"[""แย่"", ""เสียงปรบมือ""]"	แย่	1	00:00:08.663	2018-12-04 02:55:48.791	45	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	IL_small.wav	"[""เล็ก"", ""เสียงปรบมือ""]"	เล็ก	2	00:00:10.484	2018-12-04 02:55:59.53	188	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	SU_cut.wav	"[""ตัด"", ""เสียงปรบมือ""]"	ตัด	2	00:00:08.759	2018-12-04 02:56:08.656	42	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	clapping.wav	"[""เสียงปรบมือ""]"	เสียงปรบมือ	1	00:00:04.359	2018-12-04 02:56:13.751	165	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	KD_eat.wav	"[""กิน"", ""เสียงปรบมือ""]"	กิน	1	00:00:05.446	2018-12-04 02:56:19.461	81	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	clapping.wav	"[""เสียงปรบมือ""]"	เสียงปรบมือ	1	00:00:04.436	2018-12-04 02:56:24.308	167	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	KR_sleep.wav	"[""นอน"", ""เสียงปรบมือ""]"	นอน	1	00:00:05.128	2018-12-04 02:56:30.335	44	thai	english	southern
Iconicity (TH)	ICTH_0	ICTH_0_0	2109740	2018-12-04	F	42	ไทย	อเมริกา	ไทย	อังกฤษ	ไทยภาคใต้	normal	IL_deer.wav	"[""กวาง"", ""เสียงปรบมือ""]"	ล่า	2	00:00:12.435	2018-12-04 02:56:43.089	29	thai	english	southern
