experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	IL_fire.wav	"[""ateş"", ""alkış""]"	alkış	1	00:00:03.588	2018-10-04 12:21:06.161	168	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	IL_water.wav	"[""su"", ""alkış""]"	alkış	1	00:00:01	2018-10-04 12:21:07.249	55	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	BW_hunt.wav	"[""avlamak"", ""alkış""]"	alkış	1	00:00:00.928	2018-10-04 12:21:08.233	170	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	BW_bad.wav	"[""kötü"", ""alkış""]"	alkış	1	00:00:00.955	2018-10-04 12:21:09.241	188	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	IL_pound.wav	"[""dövmek"", ""alkış""]"	alkış	1	00:00:01.004	2018-10-04 12:21:10.297	143	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	TM_small.wav	"[""küçük"", ""alkış""]"	alkış	1	00:00:01.008	2018-10-04 12:21:11.432	83	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	KD_sharp.wav	"[""keskin"", ""alkış""]"	alkış	1	00:00:00.753	2018-10-04 12:21:12.272	6	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	BW_dull.wav	"[""kör"", ""alkış""]"	alkış	1	00:00:00.795	2018-10-04 12:21:13.128	22	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	GB_cut.wav	"[""kesmek"", ""alkış""]"	alkış	1	00:00:00.797	2018-10-04 12:21:13.984	125	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	NC_hide.wav	"[""saklamak"", ""alkış""]"	alkış	1	00:00:00.865	2018-10-04 12:21:15.016	194	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	KR_gather.wav	"[""toplamak"", ""alkış""]"	alkış	1	00:00:00.828	2018-10-04 12:21:15.896	85	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	KD_hide.wav	"[""saklamak"", ""alkış""]"	alkış	1	00:00:00.745	2018-10-04 12:21:16.697	10	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	SU_this.wav	"[""bu"", ""alkış""]"	alkış	1	00:00:00.821	2018-10-04 12:21:17.568	110	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	NC_small.wav	"[""küçük"", ""alkış""]"	alkış	1	00:00:00.765	2018-10-04 12:21:18.392	4	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	BW_man.wav	"[""adam"", ""alkış""]"	alkış	1	00:00:00.694	2018-10-04 12:21:19.136	170	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	GB_dull.wav	"[""kör"", ""alkış""]"	alkış	1	00:00:00.644	2018-10-04 12:21:19.84	125	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	IL_sharp.wav	"[""keskin"", ""alkış""]"	alkış	1	00:00:00.622	2018-10-04 12:21:20.513	153	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2061551	2018-10-04	F	2	q	q	q	q		undefined	NC_tiger.wav	"[""kaplan"", ""alkış""]"	alkış	1	00:00:00.494	2018-10-04 12:21:21.057	160	q	q	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	GB_fruit.wav	"[""meyve"", ""alkış""]"	meyve	1	00:00:33.038	2018-10-04 19:56:30.751	31	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	NC_one.wav	"[""bir"", ""alkış""]"	bir	14	00:00:51.325	2018-10-04 19:57:22.513	119	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	NC_sleep.wav	"[""uyumak"", ""alkış""]"	uyumak	1	00:00:06.763	2018-10-04 19:57:29.404	39	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	GB_child.wav	"[""çocuk"", ""alkış""]"	çocuk	8	00:00:35.983	2018-10-04 19:58:06.033	85	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	BW_woman.wav	"[""kadın"", ""alkış""]"	kadın	3	00:00:14.175	2018-10-04 19:58:21.544	174	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	KR_sleep.wav	"[""uyumak"", ""alkış""]"	uyumak	1	00:00:05.535	2018-10-04 19:58:27.187	35	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	IL_knife.wav	"[""bıçak"", ""alkış""]"	ateş	1	00:00:12.763	2018-10-04 19:58:40.093	170	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	KD_cook.wav	"[""pişirmek"", ""alkış""]"	et	3	00:00:18.842	2018-10-04 19:58:59.039	152	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	NC_tiger.wav	"[""kaplan"", ""alkış""]"	kaplan	1	00:00:05.085	2018-10-04 19:59:04.589	160	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	GB_cut.wav	"[""kesmek"", ""alkış""]"	kesmek	3	00:00:11.965	2018-10-04 19:59:16.657	125	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	IL_sharp.wav	"[""keskin"", ""alkış""]"	kör	9	00:00:46.186	2018-10-04 20:00:03.452	153	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	GB_big.wav	"[""büyük"", ""alkış""]"	büyük	3	00:00:20.629	2018-10-04 20:00:25.613	151	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	NC_snake.wav	"[""yılan"", ""alkış""]"	yılan	2	00:00:06.376	2018-10-04 20:00:42.642	52	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	SU_this.wav	"[""bu"", ""alkış""]"	bu	4	00:00:20.015	2018-10-04 20:01:02.794	110	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	SU_rock.wav	"[""kaya"", ""alkış""]"	şu	2	00:00:13.213	2018-10-04 20:01:16.16	55	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	clapping.wav	"[""alkış""]"	alkış	1	00:00:04.163	2018-10-04 20:01:20.46	161	turkish	english	
Iconicity (TR)	ICTR_0	ICTR_0_0	2062299	2018-10-04	F	38	Ankara	Türkiye	türkçe	ingilizce		undefined	NC_that.wav	"[""şu"", ""alkış""]"	kötü	7	00:00:26.746	2018-10-04 20:01:47.714	70	turkish	english	
