experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (US)	ICUS_0	ICUS_0_0	2192854	2019-05-08	\N	0	\N	\N	\N	\N	\N	\N	BW_that.wav	"[""that"", ""clapping""]"	bad	1	00:00:04.427	2019-05-08 11:07:02.236	21			
Iconicity (US)	ICUS_0	ICUS_0_0	2192854	2019-05-08	\N	0	\N	\N	\N	\N	\N	\N	BW_dull.wav	"[""dull"", ""clapping""]"	child	1	00:00:02.454	2019-05-08 11:07:04.735	42			
Iconicity (US)	ICUS_0	ICUS_0_0	2193522	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	BW_meat.wav	"[""meat"", ""clapping""]"	meat	2	00:00:18.246	2019-05-09 16:40:19.212	42			
Iconicity (US)	ICUS_0	ICUS_0_0	2193529	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	clapping.wav	"[""clapping""]"	fire	1	00:00:08.832	2019-05-09 17:25:29.445	30			
Iconicity (US)	ICUS_0	ICUS_0_0	2193529	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	BW_knife.wav	"[""knife"", ""clapping""]"	knife	1	00:00:13.283	2019-05-09 17:25:42.926	40			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	clapping.wav	"[""clapping""]"	clapping	1	00:00:05.365	2019-05-09 17:26:09.063	37			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	IL_man.wav	"[""man"", ""clapping""]"	eat	1	00:00:05.79	2019-05-09 17:26:15.395	4			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	clapping.wav	"[""clapping""]"	clapping	1	00:00:04.176	2019-05-09 17:26:20.01	54			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	clapping.wav	"[""clapping""]"	clapping	1	00:00:16.042	2019-05-09 17:26:36.243	30			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	GB_hunt.wav	"[""hunt"", ""clapping""]"	child	1	00:00:06.787	2019-05-09 17:26:43.515	48			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	BW_dull.wav	"[""dull"", ""clapping""]"	bad	3	00:00:19.738	2019-05-09 17:27:03.425	42			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	MS_big.wav	"[""big"", ""clapping""]"	rock	1	00:00:08.497	2019-05-09 17:27:12.34	39			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	IL_bad.wav	"[""bad"", ""clapping""]"	bad	1	00:00:07.514	2019-05-09 17:27:20.283	52			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	GB_cook.wav	"[""cook"", ""clapping""]"	snake	2	00:00:12.424	2019-05-09 17:27:33.147	34			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	clapping.wav	"[""clapping""]"	clapping	1	00:00:02.557	2019-05-09 17:27:36.152	22			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	NC_that.wav	"[""that"", ""clapping""]"	deer	3	00:00:08.957	2019-05-09 17:27:45.569	74			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	SU_this.wav	"[""this"", ""clapping""]"	good	2	00:00:13.064	2019-05-09 17:27:59.066	62			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	SU_water.wav	"[""water"", ""clapping""]"	water	4	00:00:40.647	2019-05-09 17:28:40.15	98			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	KR_one.wav	"[""one"", ""clapping""]"	dull	4	00:00:33.823	2019-05-09 17:29:14.402	95			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	GB_fire.wav	"[""fire"", ""clapping""]"	fire	2	00:01:01.821	2019-05-09 17:30:16.684	14			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	BW_big.wav	"[""big"", ""clapping""]"	bad	1	00:00:05.158	2019-05-09 17:30:22.347	47			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	BW_man.wav	"[""man"", ""clapping""]"	man	1	00:00:04.092	2019-05-09 17:30:26.624	7			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	IL_sharp.wav	"[""sharp"", ""clapping""]"	sharp	1	00:00:05.691	2019-05-09 17:30:32.761	0			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	clapping.wav	"[""clapping""]"	clapping	1	00:00:02.658	2019-05-09 17:30:35.599	50			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	KD_eat.wav	"[""eat"", ""clapping""]"	eat	1	00:00:04.302	2019-05-09 17:30:40.348	26			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	IL_hunt.wav	"[""hunt"", ""clapping""]"	hunt	1	00:00:04.012	2019-05-09 17:30:44.554	12			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	KD_hide.wav	"[""hide"", ""clapping""]"	hide	1	00:00:06.826	2019-05-09 17:30:51.832	0			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	GB_cut.wav	"[""cut"", ""clapping""]"	cut	1	00:00:06.639	2019-05-09 17:30:58.64	88			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	BW_that.wav	"[""that"", ""clapping""]"	man	2	00:00:06.613	2019-05-09 17:31:05.727	21			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	GB_big.wav	"[""big"", ""clapping""]"	one	2	00:00:07.664	2019-05-09 17:31:13.827	73			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	IL_good.wav	"[""good"", ""clapping""]"	good	1	00:00:04.383	2019-05-09 17:31:18.382	13			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	clapping.wav	"[""clapping""]"	clapping	1	00:00:02.347	2019-05-09 17:31:21.17	99			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	NC_this.wav	"[""this"", ""clapping""]"	this	2	00:00:05.367	2019-05-09 17:31:26.71	69			
Iconicity (US)	ICUS_0	ICUS_0_0	2193533	2019-05-09	\N	0	\N	\N	\N	\N	\N	\N	IL_pound.wav	"[""pound"", ""clapping""]"	pound	1	00:00:03.629	2019-05-09 17:31:30.766	33			
