experiment	script	section	session	startdate	sex	participantage	school	residence	firstlanguage	foreignlanguages	spokendialect	hearing	audio	options	inputvalue	playbacks	duration	inputtimestamp	position	l1	l2	dialect
Iconicity (ZU)	ICZU_0	ICZU_0_0	2052282	2018-09-26	F	2	q	q	q	q		undefined	KR_woman.wav	"[""umfazi"", ""shay'izandla""]"	shay'izandla	1	00:00:02.957	2018-09-26 15:38:08.984	94	q	q	
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	GB_child.wav	"[""umntwana"", ""shay'izandla""]"	umntwana	7	00:02:04.918	2018-09-28 14:39:10.11	35	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	clapping.wav	"[""shay'izandla""]"	shay'izandla	2	00:00:26.246	2018-09-28 14:39:37.252	70	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	IL_knife.wav	"[""ummese"", ""shay'izandla""]"	ummese	4	00:00:24.451	2018-09-28 14:40:01.919	76	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	IL_fire.wav	"[""umlilo"", ""shay'izandla""]"	umlilo	2	00:00:19.529	2018-09-28 14:40:21.661	33	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KR_pound.wav	"[""qongqotha"", ""shay'izandla""]"	qongqotha	2	00:00:17.505	2018-09-28 14:40:39.379	29	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KD_water.wav	"[""amanzi"", ""shay'izandla""]"	zingela	3	00:00:17.049	2018-09-28 14:40:56.642	92	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KR_meat.wav	"[""inyama"", ""shay'izandla""]"	inyama	2	00:00:05.979	2018-09-28 14:41:03.523	11	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	GB_dull.wav	"[""kubuthuntu"", ""shay'izandla""]"	pheka	8	00:00:22.265	2018-09-28 14:41:26.002	34	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	MS_big.wav	"[""kukhulu"", ""shay'izandla""]"	kukhulu	3	00:00:13.003	2018-09-28 14:41:39.217	79	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	clapping.wav	"[""shay'izandla""]"	shay'izandla	1	00:00:03.138	2018-09-28 14:41:42.569	90	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	clapping.wav	"[""shay'izandla""]"	shay'izandla	1	00:00:02.034	2018-09-28 14:41:44.817	42	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	GB_gather.wav	"[""qoqa"", ""shay'izandla""]"	qoqa	4	00:00:13.329	2018-09-28 14:41:58.359	29	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	IL_water.wav	"[""amanzi"", ""shay'izandla""]"	amanzi	3	00:00:11.196	2018-09-28 14:42:09.769	66	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	BW_snake.wav	"[""inyoka"", ""shay'izandla""]"	inyoka	1	00:00:03.338	2018-09-28 14:42:13.32	91	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	NC_snake.wav	"[""inyoka"", ""shay'izandla""]"	inyoka	2	00:00:05.251	2018-09-28 14:42:18.784	7	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KR_sleep.wav	"[""lala"", ""shay'izandla""]"	lala	1	00:00:02.707	2018-09-28 14:42:21.704	11	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	IL_pound.wav	"[""qongqotha"", ""shay'izandla""]"	qongqotha	4	00:00:18.937	2018-09-28 14:42:40.863	12	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KD_sleep.wav	"[""lala"", ""shay'izandla""]"	lala	2	00:00:09.02	2018-09-28 14:42:50.094	85	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KD_eat.wav	"[""yidla"", ""shay'izandla""]"	yidla	1	00:00:05.106	2018-09-28 14:42:55.413	5	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	TM_small.wav	"[""ncane"", ""shay'izandla""]"	ncane	10	00:00:33.751	2018-09-28 14:43:29.378	38	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	BW_woman.wav	"[""umfazi"", ""shay'izandla""]"	sinyamazane	4	00:00:11.443	2018-09-28 14:43:41.049	10	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	AB_gather.wav	"[""qoqa"", ""shay'izandla""]"	qoqa	4	00:02:04.94	2018-09-28 14:45:46.201	93	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KR_eat.wav	"[""yidla"", ""shay'izandla""]"	yidla	3	00:00:07	2018-09-28 14:45:53.809	25	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KD_sharp.wav	"[""kucijile"", ""shay'izandla""]"	umlilo	6	00:01:10.701	2018-09-28 14:47:04.721	14	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	BW_that.wav	"[""lokho"", ""shay'izandla""]"	lokho	3	00:00:06.884	2018-09-28 14:47:12.208	76	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	NC_sharp.wav	"[""kucijile"", ""shay'izandla""]"	lokho	6	00:00:27.286	2018-09-28 14:47:39.71	46	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	NC_tiger.wav	"[""ibhubesi"", ""shay'izandla""]"	ibhubesi	1	00:00:03.111	2018-09-28 14:47:43.038	58	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	GB_big.wav	"[""kukhulu"", ""shay'izandla""]"	kukhulu	3	00:00:07.991	2018-09-28 14:47:51.245	28	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	SU_rock.wav	"[""idwala"", ""shay'izandla""]"	idwala	4	00:00:08.992	2018-09-28 14:48:00.454	70	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	SU_child.wav	"[""umntwana"", ""shay'izandla""]"	umntwana	3	00:00:08.848	2018-09-28 14:48:09.516	24	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KR_tiger.wav	"[""ibhubesi"", ""shay'izandla""]"	inyoka	5	00:00:08.832	2018-09-28 14:48:18.564	84	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KR_woman.wav	"[""umfazi"", ""shay'izandla""]"	umfazi	3	00:00:05.537	2018-09-28 14:48:24.316	94	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	clapping.wav	"[""shay'izandla""]"	shay'izandla	1	00:00:02.45	2018-09-28 14:48:26.987	39	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	SU_snake.wav	"[""inyoka"", ""shay'izandla""]"	inyoka	1	00:00:05.417	2018-09-28 14:48:32.619	14	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	BW_big.wav	"[""kubi"", ""shay'izandla""]"	ibhubesi	8	00:00:19.863	2018-09-28 14:48:52.716	70	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	IL_woman.wav	"[""umfazi"", ""shay'izandla""]"	umfazi	4	00:00:10.799	2018-09-28 14:49:03.732	4	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	SU_cut.wav	"[""sika"", ""shay'izandla""]"	zingela	2	00:00:07.439	2018-09-28 14:49:11.387	76	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	BW_hunt.wav	"[""zingela"", ""shay'izandla""]"	zingela	6	00:00:18.902	2018-09-28 14:49:30.506	86	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	IL_deer.wav	"[""inyamazane"", ""shay'izandla""]"	sinyamazane	1	00:00:04.544	2018-09-28 14:49:35.265	89	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KD_man.wav	"[""indoda"", ""shay'izandla""]"	indoda	2	00:00:05.321	2018-09-28 14:49:40.801	72	zulu		
Iconicity (ZU)	ICZU_0	ICZU_0_0	2057083	2018-09-28	M	29	eThekwini	SA	isizulu	cha	cha 	undefined	KD_that.wav	"[""lokho"", ""shay'izandla""]"	kukhulu	4	00:00:11.989	2018-09-28 14:49:53.004	94	zulu		
